ind,node,lvl_dc_spreader,lvl_hh,lvl_pr_spreader,lvl_dc_receiver,lvl_ha,lvl_pr_receiver
0,TAMPINES EAST,1,1,1,1,1,1
1,BEDOK NORTH,3,1,3,3,1,3
2,TOA PAYOH CENTRAL,1,2,1,1,2,1
3,ALJUNIED,1,1,1,2,1,2
4,TAMPINES WEST,3,1,3,3,1,3
5,GEYLANG EAST,2,1,3,2,2,3
6,PASIR RIS CENTRAL,2,1,2,3,1,3
7,FRANKEL,3,2,3,3,1,3
8,KAKI BUKIT,3,2,3,2,1,3
9,PASIR RIS DRIVE,3,2,3,3,1,3
10,CHANGI AIRPORT,3,1,3,2,1,2
11,BEDOK SOUTH,3,2,3,3,2,3
12,SIMEI,3,1,3,3,2,3
13,KEMBANGAN,3,3,3,3,2,3
14,KAMPONG UBI,3,2,3,3,2,3
15,MARINE PARADE,2,2,2,3,2,3
16,PASIR RIS WEST,3,1,3,3,2,3
17,MACPHERSON,3,3,3,3,2,3
18,BEDOK RESERVOIR,3,3,3,3,3,3
19,LORONG 8 TOA PAYOH,3,3,3,3,3,3
20,BOON TECK,3,3,3,3,3,3
21,BRADDELL,3,3,3,3,3,3
22,KATONG,3,3,3,3,3,3
23,SENNETT,2,3,3,3,3,3
24,PEI CHUN,3,3,3,3,3,3
25,TOA PAYOH WEST,3,3,3,3,3,3
26,JOO SENG,3,3,3,3,3,3
27,XILIN,3,3,3,3,2,3
28,POTONG PASIR,3,3,3,3,3,3
29,DEFU INDUSTRIAL PARK,3,3,3,3,3,3
30,KALLANG WAY,3,3,3,3,3,3
31,FLORA DRIVE,3,3,3,3,3,3
32,PASIR RIS PARK,3,3,3,3,3,3
33,MOUNTBATTEN,3,3,3,3,3,3
34,TAMPINES NORTH,3,3,3,3,2,3
35,CHANGI WEST,3,3,3,3,3,3
36,LOYANG WEST,3,3,3,3,2,3
37,PAYA LEBAR NORTH,3,2,3,3,2,3
38,TANJONG RHU,3,3,3,3,3,3
39,WOODLEIGH,3,3,3,3,3,3
40,BIDADARI,3,3,3,3,3,3
41,CHANGI POINT,3,3,3,3,2,3
42,SIGLAP,3,3,3,3,3,3
43,KIM KEAT,3,3,3,3,3,3
44,PASIR RIS WAFER FAB PARK,3,3,3,3,3,3
45,BAYSHORE,3,3,3,3,3,3
46,LOYANG EAST,3,3,3,3,3,3
47,AIRPORT ROAD,3,3,3,3,3,3
48,PAYA LEBAR WEST,3,3,3,3,3,3
