ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
0,NEWTON CIRCUS,0.4025204070035573,0.3607189568732222,0.3853775772709762,0.3891014807106593,0.3576108497419231,0.3709706196448104
1,BOULEVARD,0.5027294796595609,0.4724986308115249,0.4987675568101629,0.5739788219897115,0.5399793729402652,0.5493151314889541
2,CHINATOWN,0.5446340379882472,0.48220522948524225,0.5128238489001944,0.4017573996383777,0.37172772701569556,0.38175940556594234
3,MOULMEIN,0.41234629543638285,0.393648580918119,0.38741816305754373,0.4251154273285357,0.4119343026456355,0.40118591533531456
4,CITY HALL,0.4772048806568131,0.45772361021786373,0.45749077930476295,0.41908429125509766,0.4097125722675373,0.3959743004072218
5,FARRER PARK,0.3890934584345924,0.3485258059295118,0.3783462027352846,0.46734466140958153,0.41954644242935024,0.44526525338245565
6,VICTORIA,0.4501857533276845,0.44355796542281856,0.4270705100907277,0.37640747883059456,0.3787707188777907,0.3547015420954299
7,SOMERSET,0.46616679474632383,0.43323197328204965,0.446823810572702,0.45074470150624746,0.4313607600087778,0.43003396091325763
8,DHOBY GHAUT,0.43699347194777816,0.39559601016035584,0.4187118663548653,0.4159343711449252,0.38665075683164246,0.3979317571076883
9,RAFFLES PLACE,0.27437863416496905,0.2726936587530738,0.2543915706169624,0.30842539574535016,0.3109967447070966,0.2877206763304882
10,LAVENDER,0.3683414113030057,0.340902890090186,0.3489005004272073,0.4191938925413188,0.4016543845825254,0.40197784221090405
11,BUGIS,0.3814367554472885,0.3195140089946332,0.3702249887655597,0.39018963821946084,0.32972488947355,0.3767716435813664
12,CLARKE QUAY,0.39262706628218647,0.3525911158083267,0.37061078231611977,0.3763490815125234,0.3478294833771945,0.35681017875936605
13,TANJONG PAGAR,0.2873855498027482,0.2860253180509356,0.2709585288182762,0.2276341092652132,0.23101115729134364,0.21191908747833224
14,CENTRAL SUBZONE,0.3564867228881695,0.32472206588477603,0.36025234226609293,0.3574694178587812,0.32879813857244466,0.3500277244953735
