ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
0,NEWTON CIRCUS,0.37455181631853596,0.35600664709551827,0.3565680773627355,0.3826094178104543,0.37907668179619286,0.362287910703805
1,BOULEVARD,0.5656035607010939,0.5495656118847992,0.5525698876352663,0.6527040375816748,0.630635324763688,0.6226960768808958
2,CHINATOWN,0.5678146482343708,0.530687911352498,0.5277375032487238,0.4104324022947539,0.40445689898576587,0.3886542393259251
3,MOULMEIN,0.39198432781481357,0.393079512003868,0.36580291023361183,0.40438615213015405,0.40735334356094927,0.3811430961924902
4,CITY HALL,0.4981844511190354,0.501246152009125,0.47166979140630233,0.42694165137326234,0.4360062974875713,0.40110692921898905
5,FARRER PARK,0.4778295228411012,0.4536006444484117,0.4559388640532458,0.5749183317707801,0.5461186088908458,0.5472165439551419
6,VICTORIA,0.5042019644912972,0.5104312589359208,0.47829212688110195,0.4258605473169909,0.44222454282541396,0.4000627916911751
7,SOMERSET,0.4988983922588749,0.4835161473562229,0.4683867225527317,0.47653816523662246,0.47681564889747174,0.4532873055870808
8,DHOBY GHAUT,0.4385065407355156,0.42263093500970744,0.4169698920721602,0.43018487799993993,0.4266457588757203,0.40817732861214184
9,RAFFLES PLACE,0.21461413965713716,0.22391555589204234,0.20199945521754653,0.22133063934364933,0.23487158304093364,0.20654877977494387
10,LAVENDER,0.3739752271137687,0.3599765557848576,0.36078480733329044,0.4070161653725202,0.4116967665609555,0.38677443461223704
11,BUGIS,0.40443369865138457,0.36322465218330674,0.3852734136318917,0.3984091666217287,0.36164478834115743,0.3814496854273326
12,CLARKE QUAY,0.36338292976924214,0.3472104246831805,0.34395231065717585,0.3676745662229588,0.3593298310143837,0.3480993970893474
13,TANJONG PAGAR,0.24329002994393895,0.2504582158496082,0.22786572161429725,0.18004445771477165,0.18972486135091082,0.16768246236391618
14,CENTRAL SUBZONE,0.2667211432160384,0.24540436618768816,0.3122816068921658,0.27811703195534,0.269633974147845,0.294837687722464
15,PEOPLE'S PARK,0.294033692970239,0.29208049655588275,0.30290940236500585,0.397941707349854,0.3428362035060793,0.39723180868977
16,KAMPONG JAVA,0.24703964811095533,0.22292304562930212,0.25737934800221707,0.2666328504086094,0.24691654057038648,0.2506889463232773
17,BAYFRONT SUBZONE,0.29243515784899604,0.28512448273651664,0.2731834754476522,0.2954863621142849,0.2952911428453484,0.27842704492147047
18,MARINA CENTRE,0.35629163893980553,0.3344719354983531,0.3431478891385429,0.34277387290879174,0.32567925456727453,0.32536175679249735
19,SINGAPORE GENERAL HOSPITAL,0.315080580624264,0.30300876872715693,0.29653826329255084,0.3318971866239414,0.318534803059932,0.31947730769448873
20,BRAS BASAH,0.331169538793592,0.30472969854372584,0.31937231981285347,0.3198380970539998,0.29268463571394626,0.310694179122014
21,BENCOOLEN,0.33641969285159135,0.2991773041789602,0.3200735731887817,0.2409604043342326,0.22403681035710124,0.22563684668147163
22,CHINA SQUARE,0.3321002015915857,0.3046206013191967,0.3513142337711254,0.23006130648565534,0.2293811011886789,0.2183840193240823
23,CRAWFORD,0.3095476362963318,0.288129307303269,0.3006433625720191,0.27317649176497866,0.2595723785888772,0.2623829427347019
24,PEARL'S HILL,0.3276717401599137,0.25569958390072944,0.29439747336199834,0.26244919686311924,0.21377771993588976,0.26439139045730503
25,ROBERTSON QUAY,0.23981189686049223,0.19342338578206972,0.24591975762779855,0.2598075126626545,0.2113569083906622,0.26187074966612445
26,NASSIM,0.2515555820250671,0.24366668063721816,0.23887959007848525,0.27951879290582493,0.25441047325051724,0.2805625404826503
27,EVERTON PARK,0.26113217394593496,0.2018922746449337,0.2773028961487551,0.22390370939777857,0.2072383584630699,0.22263507760132428
28,SUNGEI ROAD,0.2805066936360098,0.2602960674317605,0.27030506369732255,0.2475507065790602,0.24425169370686267,0.23288992522135446
29,CHATSWORTH,0.2695267873760329,0.24132589373224655,0.25972159219651253,0.26591130876879665,0.20652839212715365,0.26557525512022956
30,CECIL,0.18578317188995683,0.1590113966981617,0.2057169736370524,0.16514586635987646,0.14101567165264337,0.1932917111194127
31,MALCOLM,0.23589703049843827,0.20957546553734424,0.2466162282076965,0.2520333922618016,0.21147644406023378,0.24510593203083736
32,MACKENZIE,0.3181060699685292,0.22820038553919983,0.2523904445874249,0.15489710501157508,0.15274694624745924,0.14563712503962198
33,FORT CANNING,0.17935999648837733,0.15747001168995126,0.20225991819806427,0.19584067693453344,0.1475560584921989,0.21410639447523866
34,BOAT QUAY,0.16573958051029286,0.1272236770619763,0.21524036487847606,0.19501009529753643,0.17874460779938747,0.19156764137854032
35,SELEGIE,0.16452902007264542,0.14633437842052208,0.1607550002486935,0.15479920331095404,0.1371454092189193,0.15543149753220184
36,GOODWOOD PARK,0.11405483148262671,0.10629663751633633,0.12014950879261645,0.10634156632491472,0.10960764492047037,0.10586457274507272
37,INSTITUTION HILL,0.15774718271634572,0.12492468332552048,0.16414223207858109,0.1039304216119171,0.08381146722736678,0.10027764051954552
38,ROCHOR CANAL,0.15689247217466357,0.14906623469473232,0.1500145235764998,0.1799549468656135,0.1621927952152058,0.17587464853294466
39,CLIFFORD PIER,0.18717576375061484,0.16668471155689782,0.16944286329497218,0.16173362277955916,0.14399680439468657,0.1647871143035331
40,ONE TREE HILL,0.20888303128105223,0.1532156578406106,0.21466051096589298,0.1895747104276883,0.1516136547778234,0.1984685528694481
41,KAMPONG GLAM,0.18464637742903578,0.15494773634747322,0.1739294555394223,0.1679349852931198,0.1611518249759518,0.16428180900309974
42,ANSON,0.14282408619500495,0.12980722929086097,0.16308402035375377,0.1490558135031834,0.12383714542750641,0.18384550840201727
43,LEONIE HILL,0.12494656996901918,0.09499575129532901,0.11831901754816912,0.15014623990961093,0.13739382082382084,0.14718962724496423
44,PATERSON,0.31176528297291045,0.16911738918946823,0.2298043924176623,0.17442149607247812,0.14793490421942715,0.17012516402029193
45,ORANGE GROVE,0.07801167800522305,0.05858618730328687,0.10833681434263069,0.058835561591433834,0.07020478666204237,0.05476095064146653
46,STRAITS VIEW,0.11284955540322955,0.11491037099327019,0.11711213972006215,0.17992824741498295,0.19006601383940397,0.19019787648552205
47,LITTLE INDIA,0.15267254707160577,0.12788830796051193,0.14382887568337926,0.18042962435279394,0.15053146812696486,0.17687340089784417
48,PHILLIP,0.0,0.0,0.0,0.0,0.0,0.0401786156185036
49,OXLEY,0.10954421925837379,0.0917037736750338,0.09844250163499592,0.14478196151896824,0.12389125472145802,0.14612161918873637
50,MONK'S HILL,0.06529844657361916,0.0535199907028776,0.06338512833292101,0.06280353252890658,0.0587989499598741,0.060319977315740216
51,TANGLIN,0.0700450445509126,0.068916677305365,0.05837498583344421,0.09243638593066972,0.07678800127587795,0.08408950174319119
52,MAXWELL,0.10686125564176853,0.08606627421891636,0.12177389662282484,0.09831522799048822,0.09472363436182221,0.09547686852617926
53,ISTANA NEGARA,0.07995032146694869,0.06489616126505149,0.026993287933564737,0.036956609349010024,0.05191849043454338,0.021159540604197065
54,MARINA SOUTH,0.0,0.0,0.0,0.0,0.0,0.0
55,TAMPINES EAST,0.5546897878307734,0.5559636998111751,0.5211021838364676,0.6120144077132696,0.6128959218446033,0.5744644901207775
56,BEDOK NORTH,0.42453210680358483,0.4306291452526448,0.39565460849388984,0.39154861842286354,0.4052558745616135,0.3624591763503688
57,PASIR RIS CENTRAL,0.4353042434276326,0.43607624588965843,0.4140334175617943,0.38821090640751404,0.4053273182097648,0.3650836908598526
58,ALJUNIED,0.5650707456408722,0.541631925895634,0.5368795829213411,0.4635559639630419,0.46750099960079006,0.43476227483088575
59,GEYLANG EAST,0.45085225129483864,0.4498727535399805,0.4184135639348268,0.4425139111835949,0.44865982862168086,0.4138246982254607
60,TAMPINES WEST,0.30315077902723725,0.3552348208417648,0.2878164086955328,0.2588413418292802,0.31702696527953456,0.23566732527348036
61,SIMEI,0.29962029373705074,0.33578997488806206,0.27573476203949043,0.26751362749024815,0.31767171637722474,0.2455759627058286
62,PASIR RIS DRIVE,0.2209560846212567,0.23419523562429503,0.20432962202947935,0.25114637209288687,0.27949293857127505,0.23632763353673863
63,KAKI BUKIT,0.3171894594672302,0.32393838413771275,0.30004829505319214,0.35805905161314455,0.3746855085688345,0.3366508763180178
64,BEDOK SOUTH,0.29204895231876254,0.3059518700647823,0.2707323211012189,0.29156114101567077,0.3213008893608825,0.2704193190595737
65,MACPHERSON,0.3737561440463422,0.3722456765077947,0.34673210433805346,0.29408235383344344,0.3014551687048318,0.2765101222945873
66,FRANKEL,0.27953622220129515,0.28607263527075916,0.28141154657332146,0.28273569953551025,0.2980482089063694,0.26313829242751496
67,KEMBANGAN,0.18281705547856006,0.20556247245271606,0.17247607808621873,0.308233159484654,0.3317223894783405,0.287700538766018
68,KAMPONG UBI,0.2795472318116353,0.268766643173871,0.27539718448269096,0.2787245897972747,0.2871327865339235,0.2653172093947038
69,PASIR RIS WEST,0.26323542230378244,0.2607391470557049,0.2447094937989063,0.23247956674502868,0.23543001906264963,0.22109670202328296
70,BEDOK RESERVOIR,0.1868244505206746,0.20789410590304247,0.166394621729188,0.2103487576733176,0.24188109075434977,0.19315302656848893
71,MARINE PARADE,0.35368676784974434,0.3467642079714319,0.3209003304361931,0.3133571817956504,0.3228001033004998,0.29780516440406046
72,XILIN,0.14809474324738306,0.16178508267718641,0.14209180259035967,0.2667359001208373,0.2942987312333182,0.24652411997352003
73,CHANGI AIRPORT,0.3695731619519406,0.3826772336153164,0.3434619309065058,0.4566094441585533,0.4852882056232541,0.4268379271295081
74,KATONG,0.17857865801578737,0.18080414780697848,0.17157231031791192,0.22469270667744012,0.23367265092200495,0.21275008732287193
75,PASIR RIS PARK,0.0802457481519949,0.08123332846685782,0.07931490078629995,0.07597783002704676,0.07645664045901637,0.06981898699896504
76,TANJONG RHU,0.27984433121597824,0.2816166030108348,0.2561169184010345,0.25820598081123197,0.264692272308139,0.24135155178332957
77,FLORA DRIVE,0.09439925956574234,0.1106801369957459,0.08634286915641359,0.12403858349817362,0.14667528311236563,0.1175944508130778
78,MOUNTBATTEN,0.1968382585478109,0.184014132108726,0.19301324881678833,0.17245514882199434,0.17211109150115683,0.1642803425317632
79,DEFU INDUSTRIAL PARK,0.15814480678800033,0.15063030640376632,0.16504261364263959,0.1837875109383743,0.1592744364390721,0.17380647010151729
80,KAMPONG BUGIS,0.21145599609010576,0.17027150459471815,0.20840961013557283,0.18145634391389046,0.1831577289742757,0.1708007659630756
81,TAMPINES NORTH,0.07635614405607116,0.09515913229637926,0.06790443181668958,0.19150350952455597,0.19902019524128192,0.1819864294640314
82,LOYANG WEST,0.05696841604890915,0.04606517100252779,0.07687945626972725,0.14025177670290453,0.1549913623027747,0.13135338880896968
83,CHANGI WEST,0.11808029381911098,0.1342568384279246,0.0980864745694586,0.10873860039479762,0.13227627389339722,0.10730353181425442
84,BAYSHORE,0.1706781999591129,0.16200528385090063,0.12211523659034053,0.03696688546317152,0.04247380925358449,0.03342755580764777
85,SIGLAP,0.17468205163432454,0.1594349303336911,0.13467312360831837,0.08356065781240797,0.09191111857353527,0.07671951991342063
86,PAYA LEBAR NORTH,0.18238973766981287,0.17890654376647544,0.18262542223102077,0.1156885949430389,0.1368263294012076,0.1129431253437835
87,AIRPORT ROAD,0.041561161180401054,0.03719321401353053,0.022407080357090887,0.043562660301928985,0.05625982443905484,0.03740743321572775
88,LOYANG EAST,0.10490143904436737,0.11830386804761765,0.0783661755264002,0.062425987170252925,0.07466138109725229,0.06274559823205561
89,PASIR RIS WAFER FAB PARK,0.0,0.0,0.0,0.16847605274112826,0.15334469297639106,0.16639920540370218
90,CHANGI POINT,0.18309874127224357,0.19128418385476376,0.1857987833826456,0.19533942393974693,0.21803295675080772,0.19360596800855154
91,PAYA LEBAR WEST,0.0407150680670587,0.049524574470813466,0.05805547128948358,0.046285997131690196,0.041013604275180714,0.06792222166216257
92,PAYA LEBAR EAST,0.10410919596129367,0.0940638574692386,0.08614021105477328,0.012350011285046538,0.014743582624867036,0.010868467470458162
93,PLAB,0.128566145821871,0.10006328887572154,0.07839415884837668,0.04014554976687005,0.06086278806112131,0.046172075527485916
94,LORONG HALUS,0.0,0.0,0.0,0.021924279936137724,0.025347810162112686,0.0
95,SENGKANG TOWN CENTRE,0.40709790363003673,0.3682898139334413,0.37401614349633644,0.3960013637362754,0.35725939907949894,0.3644851167052817
96,HOUGANG CENTRAL,0.401702116674862,0.34897896497585534,0.37975776763164426,0.3419795459812088,0.30490967097164096,0.3166069655744893
97,BISHAN EAST,0.47531694653697043,0.44398900097799615,0.4597251850901432,0.4069984316407308,0.37751097380790766,0.3832350346670827
98,MATILDA,0.37778411495773057,0.33468526542065297,0.3540526151118162,0.39350405401617483,0.3587445274007055,0.3652816752385284
99,HOUGANG WEST,0.32341860478136863,0.269387765929247,0.29396949753943274,0.2944859168990433,0.2611614229182436,0.27368245840856126
100,RIVERVALE,0.2549832023193416,0.23325349914509527,0.2359489163808228,0.3478871299716505,0.3521445685630468,0.31986605166920323
101,PUNGGOL FIELD,0.343815800578604,0.331248682478422,0.3047817266593083,0.31005732372900247,0.28490577031503933,0.283811239898768
102,ANCHORVALE,0.1808340874097917,0.16998434478298763,0.16351921123179472,0.22518833601624308,0.21142438099031297,0.20585146097922144
103,TRAFALGAR,0.29661597872768736,0.2618414130571667,0.26610752890477474,0.293209493617015,0.2589160133290116,0.27366216083118294
104,COMPASSVALE,0.25871243985355485,0.23933186478272325,0.2358811988021387,0.2044442279025366,0.1969086136292928,0.18684668655538672
105,MARYMOUNT,0.3400945192128736,0.2821683990757171,0.30381175745784944,0.3117277526600467,0.2655958598083368,0.3020319947647874
106,WATERWAY EAST,0.15070825015478537,0.1379444144806917,0.13731250000256162,0.1434982366505155,0.13475417367906756,0.13051213230463674
107,UPPER THOMSON,0.46432463124331996,0.3999036031540748,0.45639570997096507,0.4541001876200693,0.3962414809276906,0.4463891517566074
108,KANGKAR,0.2866831721925029,0.25555211112110837,0.2554194908530049,0.16903389742526798,0.14249285146147073,0.1556841527560002
109,FERNVALE,0.33057487671150154,0.297570260504575,0.3086061389461719,0.3740861694639015,0.3335705606028634,0.3569138609948719
110,HOUGANG EAST,0.16420669596099816,0.13729113619784705,0.15078351925313727,0.15063226866800453,0.13112925157710442,0.13743531124857544
111,PUNGGOL TOWN CENTRE,0.1750479138577865,0.16192280294844102,0.15710919244191415,0.17395855178272807,0.1681704635949121,0.16000777790701542
112,SELETAR,0.21940523798539563,0.20065628821906456,0.2197314669558498,0.2441124939984154,0.2317683831639557,0.2428990209060872
113,NORTHSHORE,0.05403406760369539,0.051012314449813495,0.04719432279645977,0.048888354189325155,0.047755779538563206,0.04437944358210843
114,SELETAR AEROSPACE PARK,0.12541227659463355,0.10014029715393895,0.11879870963803157,0.13018094352972334,0.10316230687015483,0.12847460556608994
115,JURONG WEST CENTRAL,0.7373991067476224,0.7072006148846093,0.7373991067476224,0.7491989046377355,0.7359679062366073,0.7491989046377355
116,JURONG GATEWAY,0.6374647747823374,0.6060921738491138,0.6239456220541308,0.7177730076711014,0.6941987776142128,0.6987669885316962
117,YUNNAN,0.22110919916002486,0.26630648674241614,0.21094014727518187,0.18783305425147465,0.23572850174323823,0.18225939686807613
118,HONG KAH,0.33635379902917817,0.3422963187545682,0.33013626481015695,0.347457016410866,0.3622819762719703,0.33852879680431935
119,TAMAN JURONG,0.42314099700761465,0.44052924015007355,0.402579763735327,0.40597609220721903,0.4327643214372948,0.39321095520987065
120,BOON LAY PLACE,0.20992842101389392,0.2294221759494432,0.19971105408457704,0.23964422357278015,0.2657769116325924,0.2290678174605316
121,YUHUA EAST,0.27925708824831535,0.2804127867270721,0.27847882471022,0.3392709063564662,0.340573839252056,0.3322397754864283
122,TOH GUAN,0.30117971843557373,0.30028914129696666,0.2982668145186663,0.30235536340268315,0.2868414400261619,0.2960706933998109
123,YUHUA WEST,0.31452617039667286,0.3034639857942246,0.2995841940427536,0.2973746139607988,0.3002445299767828,0.2894356401117897
124,JOO KOON,0.45407681940403866,0.43776873196176497,0.5033219027926191,0.4514746379179789,0.4673208815244389,0.5039660675206744
125,TEBAN GARDENS,0.2874273134559198,0.30343563398967494,0.3075598696753578,0.30787427992933114,0.35418741655579844,0.30504230808984245
126,TOH TUCK,0.13756804929094407,0.14069024689167872,0.13765137827734733,0.19148045419972723,0.19222252107687765,0.18488366141142626
127,LAKESIDE,0.2959895422156311,0.3148152295801335,0.28848349262616063,0.33892284130822337,0.3639220722321834,0.33091436503751837
128,KIAN TECK,0.09924435860817152,0.1135949784394477,0.11440976103303316,0.1008182822969688,0.1188074254654002,0.10451461672177395
129,WESTERN WATER CATCHMENT,0.23026209230339778,0.2537550772968034,0.2341165453172502,0.22772169147249724,0.260894458167323,0.2183622627927874
130,CHIN BEE,0.06244476724514403,0.07717309546609498,0.06630231170356686,0.13212415813513842,0.14706755629826074,0.1289381082183104
131,WENYA,0.08098960715990752,0.09672171012212401,0.07388604904207946,0.1777014262651949,0.1988783533779882,0.17074408090913057
132,GUL CIRCLE,0.1522666591573502,0.14809471000837715,0.14257439530670088,0.15608345526467352,0.1600994017462861,0.15928120515317523
133,TUKANG,0.02853125250815231,0.03473101780520068,0.02957462292498356,0.12908268675015816,0.15504570942006374,0.13752832385357439
134,INTERNATIONAL BUSINESS PARK,0.14912342843254092,0.12544102290586479,0.12891579107803927,0.10389325640581819,0.10323473559961134,0.10309952399017562
135,LIU FANG,0.05513694912908428,0.06786223803673835,0.05811917427945405,0.0906989697486921,0.11876086804508708,0.09198856038030018
136,BENOI SECTOR,0.0,0.0,0.0,0.0,0.0,0.0
