ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
0,ADMIRALTY,2797,2668,2747,2593,0,0,0,0,0.990889669689132,0.7713337794659648,0.9999492267064319,0.7835517657523121
1,AIRPORT ROAD,681,654,258,250,0,0,0,0,0.665974739819834,0.10054991708964457,0.6832951492414236,0.32445009726602986
2,ALEXANDRA HILL,5641,5374,5250,5005,1,1,1,1,0.75115956975449,0.6176819869650126,0.7786275034781568,0.7858262072558384
3,ALEXANDRA NORTH,1808,2017,1419,1476,0,0,0,0,0.962353351040608,0.8964995797591173,0.9966846533795717,0.961128278884552
4,ALJUNIED,7385,7318,6252,6239,1,1,1,1,0.32083323664803,0.4068243957053634,0.2619167763902055,0.4688404423806042
5,ANAK BUKIT,7385,7231,6252,6171,1,1,1,1,0.7198707188303526,0.8834824031132983,0.7754667421526917,0.743709053437853
6,ANCHORVALE,7385,7318,6252,6239,1,1,1,1,0.2913615470113029,0.11512384719049047,0.22628513705982448,0.10741719047029132
7,ANG MO KIO TOWN CENTRE,5789,6396,5501,5760,1,1,1,1,0.46134602663795476,0.9435816249920425,0.49617986401759845,0.959716290967494
8,ANSON,2246,3060,1689,2325,0,0,0,0,0.7896734251809798,0.6545741498469044,0.8331045192478462,0.5958051890571905
9,BALESTIER,6610,6527,6252,6106,1,1,1,1,0.49884037576881257,0.5529287239210248,0.45021556276063923,0.48365076536541785
10,BANGKIT,5979,6401,5529,5760,1,1,1,1,0.54557415757864,0.3946083158044603,0.5147568388733816,0.3506405053646942
11,BAYFRONT SUBZONE,7385,7318,6252,6239,1,1,1,1,0.12726208731253177,0.12186677315126704,0.12982084931894936,0.11808158507335206
12,BAYSHORE,2345,4035,2132,3776,0,0,0,0,0.03178733417226559,0.5214729226979556,0.049897314851516335,0.5219829285610185
