ind,node,level_1_weekday,level_1_weekend
0,NEWTON CIRCUS,1,1
1,BOULEVARD,1,1
2,CHINATOWN,1,1
3,MOULMEIN,1,1
4,CITY HALL,1,1
5,FARRER PARK,1,1
6,VICTORIA,1,1
7,SOMERSET,1,1
8,DHOBY GHAUT,1,1
9,RAFFLES PLACE,1,1
10,LAVENDER,1,1
11,BUGIS,1,1
12,CLARKE QUAY,1,1
13,TANJONG PAGAR,1,1
14,CENTRAL SUBZONE,1,1
15,PEOPLE'S PARK,1,1
16,KAMPONG JAVA,1,1
17,BAYFRONT SUBZONE,1,1
18,MARINA CENTRE,1,1
19,SINGAPORE GENERAL HOSPITAL,1,8
20,BRAS BASAH,1,1
21,BENCOOLEN,1,1
22,CHINA SQUARE,1,1
23,CRAWFORD,1,1
24,PEARL'S HILL,1,1
25,ROBERTSON QUAY,1,1
26,NASSIM,1,1
27,EVERTON PARK,1,8
28,SUNGEI ROAD,1,1
29,CHATSWORTH,1,1
30,CECIL,1,1
31,MALCOLM,1,1
32,MACKENZIE,1,1
33,FORT CANNING,1,1
34,BOAT QUAY,1,1
35,SELEGIE,1,1
36,GOODWOOD PARK,1,1
37,INSTITUTION HILL,1,1
38,ROCHOR CANAL,1,1
39,CLIFFORD PIER,1,1
40,ONE TREE HILL,1,1
41,KAMPONG GLAM,1,1
42,ANSON,1,1
43,LEONIE HILL,1,1
44,PATERSON,1,1
45,ORANGE GROVE,1,1
46,STRAITS VIEW,1,1
47,LITTLE INDIA,1,1
48,PHILLIP,1,1
49,OXLEY,1,1
50,MONK'S HILL,1,1
51,TANGLIN,1,1
52,MAXWELL,1,1
53,ISTANA NEGARA,1,1
54,MARINA SOUTH,1,1
55,TAMPINES EAST,2,2
56,BEDOK NORTH,2,2
57,PASIR RIS CENTRAL,2,2
58,ALJUNIED,2,2
59,GEYLANG EAST,2,2
60,TAMPINES WEST,2,2
61,SIMEI,2,2
62,PASIR RIS DRIVE,2,2
63,KAKI BUKIT,2,2
64,BEDOK SOUTH,2,2
65,MACPHERSON,2,2
66,FRANKEL,2,2
67,KEMBANGAN,2,2
68,KAMPONG UBI,2,2
