ind,node,level_1_weekday,level_1_weekend,weekday_com_ent_in,weekday_com_ent_out,weekend_com_ent_in,weekend_com_ent_out
0,NEWTON CIRCUS,1,1,0.660688402724629,0.6180277874404123,0.6495263036263713,0.5954124594701696
1,BOULEVARD,1,1,0.7788855449501925,0.7511210648678254,0.7804330583000283,0.7284539725833221
2,CHINATOWN,1,1,0.7465303081520851,0.7542456031170937,0.7144078139589177,0.728074294941542
3,MOULMEIN,1,1,0.744089755839352,0.7320012906296297,0.7104485112133001,0.6520517851723093
4,CITY HALL,1,1,0.759932088810721,0.7618072600120186,0.7636555783141838,0.7707658634730038
5,FARRER PARK,1,1,0.7457426246870801,0.7712423987723686,0.757866797756445,0.7589017708470891
6,VICTORIA,1,1,0.6844541630031172,0.7104378854056584,0.6961777425455131,0.7020536002748649
7,SOMERSET,1,1,0.7164090574774954,0.7428034830846767,0.7038897264574017,0.7148234659680096
8,DHOBY GHAUT,1,1,0.715770569702024,0.7492845397631677,0.6825639846079012,0.6982820663245624
9,RAFFLES PLACE,1,1,0.8197037475733917,0.7687654253995235,0.7330800134205854,0.6861328802529096
10,LAVENDER,1,1,0.7130368476100167,0.7535318345404941,0.5968116426321703,0.6482320768808103
11,BUGIS,1,1,0.6356462253302457,0.5824899641868705,0.5847521299099367,0.5462800411909962
12,CLARKE QUAY,1,1,0.7118123307854768,0.6856035280781834,0.6183641559675072,0.6034228763830916
13,TANJONG PAGAR,1,1,0.8595635851826637,0.8243163591939551,0.8126195824372234,0.7586432672793028
14,CENTRAL SUBZONE,1,1,0.6819386466519346,0.681217582343913,0.5554395872650449,0.581231266268975
15,PEOPLE'S PARK,1,1,0.6993222396443332,0.7027420301584747,0.6510729307167787,0.6323836194828324
16,KAMPONG JAVA,1,1,0.5411881125127772,0.5478887059351346,0.5206594021561788,0.5590390470367749
17,BAYFRONT SUBZONE,1,1,0.5757565361996978,0.5955635012061167,0.5719109542096655,0.5939087313676956
18,MARINA CENTRE,1,1,0.6431334496554403,0.6529817393094872,0.620664841410974,0.6611274446344364
19,SINGAPORE GENERAL HOSPITAL,1,8,0.8032732647409738,0.7531047489396955,0.7374927689390756,0.6589829049046303
20,BRAS BASAH,1,1,0.6963330841729614,0.7159996614195981,0.5957385959659129,0.6256171500106841
21,BENCOOLEN,1,1,0.6063946176778691,0.6377408198219523,0.5696627448320484,0.6339480699286114
22,CHINA SQUARE,1,1,0.50670858032544,0.61045082069356,0.4404003586718354,0.6196298010042379
23,CRAWFORD,1,1,0.64901674237068,0.6421107257927414,0.5618288940763171,0.5466648313384367
24,PEARL'S HILL,1,1,0.4144892624804029,0.5754194158023593,0.4595575096055913,0.6047737311020507
25,ROBERTSON QUAY,1,1,0.4025433279180305,0.3687055967862059,0.38781440515910015,0.36976102381107345
26,NASSIM,1,1,0.6610235502636154,0.5399258277344948,0.6057780360423083,0.44466385956268556
27,EVERTON PARK,1,8,0.4252223234525587,0.43855298153312067,0.38605779474722396,0.43020262544411625
28,SUNGEI ROAD,1,1,0.5563788375477664,0.5095639394404409,0.4175829568550036,0.44596376668018767
29,CHATSWORTH,1,1,0.3733070373756513,0.4617379605727755,0.3782925634561026,0.42916399751751616
30,CECIL,1,1,0.6211591899670553,0.5785512528172868,0.5114674144577637,0.5481611165616438
31,MALCOLM,1,1,0.6984503556259106,0.6940884145121113,0.6252353859119308,0.638176858104608
32,MACKENZIE,1,1,0.26822313713041734,0.6253828994791932,0.2659599119846615,0.6989742248561169
33,FORT CANNING,1,1,0.2853378618238511,0.49401819731883495,0.35109387609416454,0.454849619894481
34,BOAT QUAY,1,1,0.47447091676988673,0.3457487762329441,0.43471189652438147,0.40829012781181195
35,SELEGIE,1,1,0.21168324586316947,0.6270339898967296,0.25638552693416927,0.5020444985172219
36,GOODWOOD PARK,1,1,0.21382934669323858,0.5659610243457392,0.2373898018482771,0.44646668496686437
37,INSTITUTION HILL,1,1,0.11647931168818788,0.37720815370267236,0.12912669683202424,0.3645287033855959
38,ROCHOR CANAL,1,1,0.42153549495055975,0.5592616515942487,0.5201417183862641,0.47260396360780577
39,CLIFFORD PIER,1,1,0.504551590634731,0.5011014586534714,0.5011539109422798,0.5013931468660616
40,ONE TREE HILL,1,1,0.43108505008341247,0.5237221679782654,0.41049078670760636,0.5576863206375954
41,KAMPONG GLAM,1,1,0.5340692450552893,0.49231954817500484,0.4664248782336077,0.4326781781387359
42,ANSON,1,1,0.4507411024339605,0.4540538094695347,0.42311417927395506,0.41297897711381226
43,LEONIE HILL,1,1,0.46893332793309606,0.18198377770626012,0.4136513380905228,0.18834431260446455
44,PATERSON,1,1,0.3768478655281812,0.4388820248706288,0.3043948590759764,0.49793911182015016
45,ORANGE GROVE,1,1,0.17179616057382435,0.5788349917082478,0.1632896002919525,0.5075483236625113
46,STRAITS VIEW,1,1,0.6507620296532807,0.6490273585839853,0.6680918598070296,0.6600508328365744
47,LITTLE INDIA,1,1,0.663836078386414,0.35550121211221836,0.6981123827023056,0.3676531232101476
48,PHILLIP,1,1,0.37030964074047057,0.0,0.3581220579222572,0.0
49,OXLEY,1,1,0.4184753679800138,0.13026647608679787,0.4348187338480571,0.1402863739759818
50,MONK'S HILL,1,1,0.19719778083026082,0.4450829175603413,0.18806484671535315,0.4344117855616003
51,TANGLIN,1,1,0.26501405197886224,0.0840328787571437,0.2527128063774899,0.1011513263615476
52,MAXWELL,1,1,0.43372200001327904,0.29680800244409217,0.412433893632218,0.30599707948957217
53,ISTANA NEGARA,1,1,0.3199381409509103,0.5935653657834047,0.24263878888484194,0.5301638590848506
54,MARINA SOUTH,1,1,0.0,0.0,0.0,0.0
55,TAMPINES EAST,2,2,0.45552360760758825,0.4435130411975989,0.42576063859165164,0.41575289348232236
56,BEDOK NORTH,2,2,0.41128670211056095,0.39140280794555615,0.4044257343154958,0.378749892246127
57,PASIR RIS CENTRAL,2,2,0.3842793806357552,0.4102256791985919,0.3802544138605332,0.39210724140262976
