node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
ADMIRALTY,6543.745633733236,4965.819376652038,0.0018983612194246795,0.000899334865329995,0.0008395712675845444,7978.9062680708985,5941.1826099306545,0.002060719856416196,0.00108781672641274,0.0010004882079311193
AIRPORT ROAD,1010.1309180952901,933.6996551713846,0.000654682822685341,0.0001786960856188149,0.00016427807440834864,166.47270265511636,156.56958254234962,0.0005230475582036662,2.3457477386859114e-05,1.9027040623102453e-05
ALEXANDRA HILL,17345.71105837533,14349.3548502398,0.0035976241216433306,0.0010356046485639231,0.0013893259319197218,17082.631482620982,12750.956602916513,0.0036105663890684775,0.0010951278501760717,0.0014329901092305427
ALEXANDRA NORTH,1370.399900149045,2080.3430000862686,0.0007452027859570161,0.00015771111801619585,6.205799463848817e-05,971.1325508051106,1208.0552978067446,0.0006732232052305419,9.466209793647423e-05,6.878200931455296e-05
ALJUNIED,74166.09794334354,72493.65686911033,0.011333919544453841,0.013224780759651247,0.013935197854496878,85251.67509465915,82717.49452554673,0.012953059152865924,0.01572364113431619,0.017617846027949195
ANAK BUKIT,30640.90670349903,32952.011911034126,0.005480246507739018,0.0034719082035249388,0.00373040632127772,26906.918755372742,27340.953950733117,0.0050958501630220384,0.0032067520773977377,0.0031644119204764436
ANCHORVALE,20079.042282666127,20047.861428057407,0.0032216935589193686,0.003612811196729624,0.0033736060318554535,18782.958359318567,19473.701896031704,0.003041847558976961,0.0034905917438644595,0.0031174481036326585
ANG MO KIO TOWN CENTRE,31846.025282936047,33687.65683721035,0.005837717521132838,0.002874859089547305,0.0023207723883795456,36726.78646377713,36984.80661729748,0.006749112894490735,0.003083390554866596,0.0025016196610129215
ANSON,1926.0939858408644,2636.948331297262,0.0010331167984290342,0.0003530269719245176,0.00016884346404355085,1334.589594538728,1540.2485674122108,0.0009192417097132433,0.000248799913331382,0.00014241651820308868
BALESTIER,23823.053489921975,23686.57594331362,0.004158860990630591,0.003587821482573145,0.003933890863105177,26657.19364835527,27491.23693137152,0.0046420361310665825,0.004669245203688046,0.004624908904425417
BANGKIT,17708.25548177796,19474.1505724921,0.003431155835080042,0.002097296755382724,0.001982797869398054,18798.795608073782,20194.307101331382,0.003597735006695877,0.0023756668655726936,0.002254992132681544
BAYFRONT SUBZONE,23930.198384418753,23861.500910500043,0.003946022424705059,0.00446085193394229,0.004488773898671776,44697.968991359754,46209.138202205344,0.007120880732283768,0.009244261332526253,0.008976490488621296
BAYSHORE,2180.318405610806,4203.370658702206,0.0007763233123225091,0.0007691521541980486,0.0007422169137080424,2151.4841834862677,4129.475731072921,0.0007836147429275181,0.0007613533088055796,0.0006217011409008612
BEDOK NORTH,84413.36176977078,84156.8897118302,0.0122571552094257,0.02033084014980979,0.019385206962519354,88965.92285376022,87946.81795552238,0.012996640999325388,0.019813038559447407,0.019873873162500243
BEDOK RESERVOIR,20576.732738874263,22497.03319509356,0.0032726203624433322,0.007055017571523065,0.0066944078006610785,19608.836443224805,21570.45792379905,0.003189344157925849,0.006414343469316525,0.005978216038194691
BEDOK SOUTH,36008.29001354213,37607.334166972294,0.005525446678266851,0.009613707304535592,0.010055485778281062,34734.79122418644,35017.42744686672,0.005407577253245282,0.008689369913148875,0.009345944472174706
BENCOOLEN,13019.862216119605,12563.611934446904,0.0023668820977587788,0.0018701870652484119,0.002037581712684799,15086.359215512208,14411.396883568576,0.0026933921812341884,0.0021871474438194425,0.0024282442685571756
BENDEMEER,35711.650066877344,37506.20257906447,0.005731020811186631,0.0059392243729592805,0.005237270826732439,34720.17685172472,35099.66197842447,0.005567758362618405,0.006235651334005257,0.006054753861218064
BENOI SECTOR,1511.3159536402381,1697.7506828259882,0.0007980204399766137,0.00042892229547450937,0.00025949399643160386,834.1184965867051,971.2579067559047,0.0006833986330148274,0.00024394966204104856,0.00012206370645519228
BIDADARI,12319.629736132667,14532.112791469588,0.002206921584454497,0.002497393957209549,0.0024282348947786783,8797.449139846942,10025.71185486309,0.001740517460691833,0.00191381374871791,0.00184128756608483
BISHAN EAST,66639.1910315575,63307.597639118794,0.010152716011802291,0.011022499840825319,0.010641620591429412,59867.11276879518,55688.23957783858,0.009349493812448473,0.009796459130383718,0.009620305363407829
BOAT QUAY,3605.2186358539084,1613.4190520516484,0.0011375443050839933,0.00014714787611016595,0.0004732521489447886,3668.7926119030803,1553.536298196428,0.0011129641496283806,0.00015126468650548735,0.0005528370916023613
BOON KENG,19650.866999466733,20028.169397043115,0.0034291093780392957,0.004426269867785274,0.0037898353186386936,26368.119307457466,26776.436019041543,0.004411532744621124,0.0065607619629936146,0.005802224140124673
