node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
ADMIRALTY,0.0485514183488629,0.03693327597872381,0.060611698625746904,0.02821375363113338,0.028507713140813448,0.06119883763855695,0.045807901324106885,0.06789181042843144,0.03888837605831943,0.03854963628603549
AIRPORT ROAD,0.006487398289046033,0.006623446315423569,0.005869173658525771,0.005506898561821319,0.005367707126602632,0.00028734601804228556,0.001161028642403782,0.00018194315872931732,0.0008320914175990198,0.0006189522133447147
ALEXANDRA HILL,0.1306630422433737,0.10747020977282742,0.13540751569104367,0.03250752508131748,0.04734593980680804,0.13217819093204297,0.0983671842037918,0.13613775797933786,0.03914978611064483,0.05526460527866811
ALEXANDRA NORTH,0.009225999089208873,0.015242874028290334,0.009853556890093785,0.00484567600288846,0.0018649718931519474,0.006561067411965521,0.009276618852806224,0.006794778116575429,0.0033780206326179912,0.002541840312583946
ALJUNIED,0.5625857576036379,0.5445464901954462,0.4759331262084745,0.41658046586825187,0.477250394161654,0.6636743110570881,0.6383837930626874,0.5475251164823299,0.5621939236246499,0.6807632771199276
ANAK BUKIT,0.23172706730735934,0.24730816244909717,0.2182741983036007,0.10927385140852569,0.12756681991770902,0.20877557724977225,0.2109758843761616,0.20154074879158293,0.11465114781623088,0.12217913629273472
ANCHORVALE,0.15144058194518448,0.15030642884358014,0.11886032127984156,0.11371361226460026,0.11534048485831032,0.1454351927913079,0.15025476108268065,0.11109479105846634,0.1247998670097464,0.12036411827787497
ANG MO KIO TOWN CENTRE,0.24088783015494994,0.25283807573175254,0.23400886566380774,0.09046122560758726,0.07926344885649861,0.2853385053856229,0.2854091887522019,0.2743405255969647,0.11024034270559328,0.09656409961380934
ANSON,0.013450132565940734,0.019426929548470893,0.022526559860543895,0.01099995039430085,0.005524147536017851,0.009394846475611106,0.011840557104781246,0.017627957789369368,0.00888923555552678,0.005387604756998531
BALESTIER,0.17990085079641635,0.17765899393812407,0.16011126819941776,0.11292620276964896,0.13453954460865333,0.20682853621113045,0.21213580035861732,0.18155750014715347,0.16694275401041703,0.17862319290195613
BANGKIT,0.13341893991284576,0.14599378946049527,0.1280801436330153,0.06596074669038639,0.06768220906182894,0.14555867165826633,0.1558165451990009,0.13557274084379767,0.0849356026083006,0.08703264674295906
BAYFRONT SUBZONE,0.1807153175099523,0.17897392164997583,0.15074283296751761,0.1404348194142879,0.15355350315279706,0.3474877209493653,0.35660454026409627,0.29071095184537415,0.3305229701773739,0.34679945069461104
BAYSHORE,0.015382630877158139,0.03120187602922657,0.011223377412845152,0.024111781828577938,0.025171709821105656,0.015763958928585124,0.03182476261215632,0.011655759467315403,0.02721563984955241,0.02391059294033296
BEDOK NORTH,0.6404807924594171,0.63222012719163,0.5165708437830957,0.6404877342932497,0.6640037108121283,0.6926333248343732,0.6787448226223398,0.549444199659265,0.7084107884306404,0.7679523125606112
BEDOK RESERVOIR,0.15522379823495558,0.168717087306809,0.12110194726668873,0.22217527637657414,0.22913309180098732,0.15187434719386367,0.1664379697040857,0.11758965680402933,0.22933893874180938,0.23092466651513602
BEDOK SOUTH,0.2725274718935956,0.28230266518014246,0.22026375723630376,0.30279791086501734,0.34430582773594737,0.2698074419431684,0.27022453821067477,0.21526734055493987,0.31068276507759623,0.36107779689550923
BENCOOLEN,0.09777990855461943,0.09404660944871501,0.08123440618994715,0.05880466938244161,0.06955946545349243,0.11661378062991319,0.11118281516386566,0.09575090575611436,0.07819506948368896,0.09372834928292018
BENDEMEER,0.27027255005529194,0.2815424493594824,0.229312436648506,0.18701736486747345,0.17920195273286404,0.2696934975213327,0.27085924180158305,0.22232075607616347,0.22294978134905166,0.23388263579748056
BENOI SECTOR,0.010297178780135443,0.01236689098025026,0.012178411733161285,0.013391362237247876,0.008630433643811693,0.005492804834685867,0.007448966264888933,0.007242842938636223,0.008715814275209177,0.0046010264407948835
BIDADARI,0.09245706000112919,0.10884401869987392,0.07419348434368268,0.07856754697826446,0.08294582425951752,0.06758080131962217,0.07733316607384344,0.05379201703347973,0.06842199247777771,0.07104414130055811
BISHAN EAST,0.5053696376538699,0.47549400421524646,0.4239405338734485,0.34718803924123404,0.36439067863988994,0.46575754895531585,0.42976625916406047,0.3888457078846727,0.35026686453679784,0.371681065403635
BOAT QUAY,0.02621407378531762,0.011732962044464609,0.02712310620669859,0.004512835181973389,0.01595520010780757,0.02759401403873417,0.011943114634860237,0.026158332375075692,0.0054018525521089,0.02124919319787341
BOON KENG,0.14818578835597437,0.15015840196268476,0.12799006550193165,0.13934516120225074,0.12960324997541972,0.20457469953580185,0.20661881500895596,0.17140751323538975,0.23457414844862648,0.22412307995480704
BOON LAY PLACE,0.1423545443402565,0.14180480974133983,0.12712225558025872,0.15854110131895466,0.17510737915975488,0.1643609449527791,0.16672371304918307,0.14354562739707366,0.21761550710542377,0.2242071641923051
