ind,node,lvl_dc_spreader,lvl_hh,lvl_pr_spreader,lvl_dc_receiver,lvl_ha,lvl_pr_receiver
0,TAMPINES EAST,2,2,2,2,2,2
1,SERANGOON CENTRAL,2,2,2,3,3,3
2,BEDOK NORTH,3,3,3,3,3,3
3,GEYLANG EAST,3,2,3,3,2,3
4,TOA PAYOH CENTRAL,1,1,1,1,1,1
5,SENGKANG TOWN CENTRE,3,3,3,3,3,3
6,BOULEVARD,1,1,1,1,1,1
7,ALJUNIED,2,2,2,3,2,3
8,MARITIME SQUARE,1,1,1,2,2,2
9,CHINATOWN,2,2,2,3,3,3
10,BISHAN EAST,2,2,2,2,2,2
11,CHENG SAN,1,1,2,3,2,3
12,NEWTON CIRCUS,3,3,3,3,2,3
13,CLEMENTI NORTH,2,2,2,1,1,1
14,PASIR RIS CENTRAL,3,3,3,3,3,3
15,HOUGANG CENTRAL,3,3,3,3,3,3
16,CITY HALL,2,2,2,2,2,3
17,FARRER PARK,3,2,3,2,2,2
18,VICTORIA,2,2,2,3,2,3
19,MATILDA,3,3,3,3,3,3
20,RAFFLES PLACE,3,3,3,3,3,3
21,MOULMEIN,2,2,2,2,2,2
22,TAMPINES WEST,3,3,3,3,3,3
23,ONE NORTH,3,3,2,2,2,2
24,TIONG BAHRU STATION,2,2,2,2,2,2
25,SOMERSET,2,2,2,2,2,2
26,KAKI BUKIT,3,3,3,3,3,3
27,TANJONG PAGAR,3,3,3,3,3,3
28,SIMEI,3,3,3,3,3,3
29,YIO CHU KANG,2,2,2,2,2,2
30,CHANGI AIRPORT,3,3,3,3,2,3
31,DHOBY GHAUT,3,2,3,3,2,3
32,BEDOK SOUTH,3,3,3,3,3,3
33,BENDEMEER,3,3,3,3,3,3
34,CLEMENTI CENTRAL,2,2,1,2,3,2
35,RIVERVALE,3,3,3,3,3,3
36,LAVENDER,3,3,3,3,3,3
37,MACPHERSON,3,3,3,3,3,3
38,FRANKEL,3,3,3,3,3,3
39,CENTRAL SUBZONE,3,3,3,3,3,3
40,KEMBANGAN,3,3,3,3,3,3
41,ANG MO KIO TOWN CENTRE,2,3,2,2,3,2
42,GOMBAK,2,2,2,3,3,3
43,PUNGGOL FIELD,3,3,3,3,3,3
44,UPPER THOMSON,2,2,2,2,2,2
45,KOVAN,3,3,3,3,3,3
46,BUGIS,3,3,3,3,3,3
47,COMPASSVALE,3,3,3,3,3,3
48,REDHILL,3,3,3,3,3,3
49,KAMPONG UBI,3,3,3,3,3,3
50,CLARKE QUAY,3,3,3,3,3,3
51,NATIONAL UNIVERSITY OF S'PORE,3,3,3,3,3,3
52,HOUGANG WEST,3,3,3,3,3,3
53,PASIR RIS DRIVE,3,3,3,3,3,3
54,SINGAPORE GENERAL HOSPITAL,3,3,3,3,3,3
55,BAYFRONT SUBZONE,3,3,3,3,3,3
56,BALESTIER,3,3,3,3,3,3
57,TOA PAYOH WEST,2,2,2,3,3,3
58,JOO SENG,3,3,3,3,3,3
59,MARINA CENTRE,3,3,3,3,3,3
60,TRAFALGAR,3,3,3,3,3,3
61,FERNVALE,3,3,3,3,3,3
62,CHONG BOON,3,3,3,3,3,3
63,MEI CHIN,3,3,3,3,3,3
64,SINGAPORE POLYTECHNIC,3,3,3,3,3,3
65,LORONG AH SOO,3,3,3,3,3,3
66,BEDOK RESERVOIR,3,3,3,3,3,3
67,BOON KENG,3,3,3,3,3,3
68,XILIN,3,3,3,3,3,3
69,ANCHORVALE,3,3,3,3,3,3
