ind,node,lvl_dc_spreader,lvl_hh,lvl_pr_spreader,lvl_dc_receiver,lvl_ha,lvl_pr_receiver
0,NEWTON CIRCUS,3,3,3,3,3,3
1,BOULEVARD,1,1,1,1,1,1
2,CHINATOWN,1,1,2,2,2,3
3,MOULMEIN,3,2,3,2,2,3
4,CITY HALL,2,2,2,2,2,2
5,FARRER PARK,2,2,2,1,1,1
6,VICTORIA,2,2,2,2,2,2
7,SOMERSET,2,2,2,2,2,2
8,DHOBY GHAUT,2,2,2,2,2,2
9,RAFFLES PLACE,3,3,3,3,3,3
10,LAVENDER,3,3,3,2,2,3
11,BUGIS,3,3,3,3,3,3
12,CLARKE QUAY,3,3,3,3,3,3
13,TANJONG PAGAR,3,3,3,3,3,3
14,CENTRAL SUBZONE,3,3,3,3,3,3
15,PEOPLE'S PARK,3,3,3,3,3,2
16,KAMPONG JAVA,3,3,3,3,3,3
17,BAYFRONT SUBZONE,3,3,3,3,3,3
18,MARINA CENTRE,3,3,3,3,3,3
19,SINGAPORE GENERAL HOSPITAL,3,3,3,3,3,3
20,BRAS BASAH,3,3,3,3,3,3
21,BENCOOLEN,3,3,3,3,3,3
22,CHINA SQUARE,3,3,3,3,3,3
23,CRAWFORD,3,3,3,3,3,3
24,PEARL'S HILL,3,3,3,3,3,3
25,ROBERTSON QUAY,3,3,3,3,3,3
26,NASSIM,3,3,3,3,3,3
27,EVERTON PARK,3,3,3,3,3,3
28,SUNGEI ROAD,3,3,3,3,3,3
29,CHATSWORTH,3,3,3,3,3,3
30,CECIL,3,3,3,3,3,3
31,MALCOLM,3,3,3,3,3,3
32,MACKENZIE,3,3,3,3,3,3
33,FORT CANNING,3,3,3,3,3,3
34,BOAT QUAY,3,3,3,3,3,3
35,SELEGIE,3,3,3,3,3,3
36,GOODWOOD PARK,3,3,3,3,3,3
37,INSTITUTION HILL,3,3,3,3,3,3
38,ROCHOR CANAL,3,3,3,3,3,3
39,CLIFFORD PIER,3,3,3,3,3,3
40,ONE TREE HILL,3,3,3,3,3,3
41,KAMPONG GLAM,3,3,3,3,3,3
42,ANSON,3,3,3,3,3,3
43,LEONIE HILL,3,3,3,3,3,3
44,PATERSON,3,3,3,3,3,3
45,ORANGE GROVE,3,3,3,3,3,3
46,STRAITS VIEW,3,3,3,3,3,3
47,LITTLE INDIA,3,3,3,3,3,3
48,PHILLIP,3,3,3,3,3,3
49,OXLEY,3,3,3,3,3,3
50,MONK'S HILL,3,3,3,3,3,3
51,TANGLIN,3,3,3,3,3,3
52,MAXWELL,3,3,3,3,3,3
53,ISTANA NEGARA,3,3,3,3,3,3
54,MARINA SOUTH,3,3,3,3,3,3
55,TAMPINES EAST,1,1,2,1,1,1
56,BEDOK NORTH,2,2,2,3,2,3
57,PASIR RIS CENTRAL,2,2,2,3,2,3
58,ALJUNIED,1,1,1,2,2,2
59,GEYLANG EAST,2,2,2,2,2,2
60,TAMPINES WEST,3,3,3,3,3,3
61,SIMEI,3,3,3,3,3,3
62,PASIR RIS DRIVE,3,3,3,3,3,3
63,KAKI BUKIT,3,3,3,3,3,3
64,BEDOK SOUTH,3,3,3,3,3,3
65,MACPHERSON,3,3,3,3,3,3
66,FRANKEL,3,3,3,3,3,3
67,KEMBANGAN,3,3,3,3,3,3
68,KAMPONG UBI,3,3,3,3,3,3
69,PASIR RIS WEST,3,3,3,3,3,3
70,BEDOK RESERVOIR,3,3,3,3,3,3
71,MARINE PARADE,3,3,3,3,3,3
