ind,origin,destination,sum_weekday,sum_weekend
0,TAMPINES EAST,TAMPINES EAST,1073765.956521739,1076135.125
1,SENOKO NORTH,YISHUN CENTRAL,11833.04347826087,10297.5
2,FERNVALE,TRAFALGAR,10168.695652173914,11622.5
3,CHINATOWN,PORT,802.7391304347826,725.625
4,LAKESIDE,TAMAN JURONG,7935.782608695652,8238.125
5,DEFU INDUSTRIAL PARK,GEYLANG EAST,3706.086956521739,5610.0
6,YUNNAN,TUKANG,390.4347826086956,232.5
7,LAKESIDE,GEYLANG EAST,261.0,729.625
8,TEBAN GARDENS,WEST COAST,3578.2608695652175,1750.0
9,CLEMENTI WOODS,BEDOK NORTH,320.8695652173913,630.0
10,MARINA CENTRE,MARINA CENTRE,3163.217391304348,6373.25
11,GEYLANG EAST,PEARL'S HILL,1113.0434782608695,1760.0
12,MIDVIEW,WOODLANDS SOUTH,12249.739130434782,7483.0
13,MACPHERSON,ALJUNIED,74985.43478260869,63596.625
14,MARYMOUNT,LEONIE HILL,720.8695652173913,672.5
15,PASIR RIS CENTRAL,KAKI BUKIT,2887.1739130434785,2844.5
16,ALJUNIED,KOVAN,4699.347826086957,6003.625
17,FLORA DRIVE,SIMEI,9472.173913043478,8692.5
18,MATILDA,MATILDA,182018.39130434784,181365.375
19,PUNGGOL FIELD,PASIR RIS DRIVE,6899.130434782609,7232.5
20,HOUGANG EAST,RIVERVALE,16754.782608695652,13132.5
21,SENGKANG TOWN CENTRE,KAKI BUKIT,11453.652173913044,6357.5
22,CHONG BOON,MACPHERSON,1933.9130434782608,1540.0
23,ANAK BUKIT,NORTH COAST,3061.7391304347825,2965.0
24,CLEMENTI CENTRAL,MARITIME SQUARE,6425.217391304348,11925.0
25,TAMAN JURONG,JURONG RIVER,9623.478260869566,5547.5
26,BALESTIER,BALESTIER,133949.5652173913,154637.5
27,TAMPINES EAST,CHANGI AIRPORT,103257.95652173914,107432.25
28,BUKIT BATOK WEST,HONG KAH,6103.478260869565,6667.5
29,MANDAI ESTATE,YISHUN SOUTH,1863.4782608695652,1617.5
30,YISHUN SOUTH,YIO CHU KANG NORTH,18513.565217391304,9021.0
31,WESTERN WATER CATCHMENT,JELEBU,2284.3478260869565,4037.5
32,MARINA CENTRE,MARINE PARADE,5686.95652173913,6412.5
33,DEFU INDUSTRIAL PARK,HOLLAND ROAD,1514.7826086956522,505.0
34,MARGARET DRIVE,TELOK BLANGAH WAY,3944.3478260869565,2557.5
35,HOUGANG EAST,CHINATOWN,143.47826086956522,215.0
36,MARINE PARADE,TANJONG RHU,9250.434782608696,10677.5
37,TELOK BLANGAH WAY,TELOK BLANGAH WAY,3072.1739130434785,3407.5
