ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core
0,ADMIRALTY,8845,8436,5350,5185
1,AIRPORT ROAD,2153,2070,515,500
2,ALEXANDRA HILL,14278,14023,8195,8136
3,ALEXANDRA NORTH,5717,6379,2838,2951
4,ALJUNIED,14278,14023,8195,8377
5,ANAK BUKIT,14278,14023,8195,8136
6,ANCHORVALE,14278,14023,8195,8377
7,ANG MO KIO TOWN CENTRE,14278,14023,8195,8377
8,ANSON,7101,9675,3378,4649
9,BALESTIER,14278,14023,8195,8377
10,BANGKIT,14278,14023,8195,8377
11,BAYFRONT SUBZONE,12287,12143,8195,7874
12,BAYSHORE,7417,12587,4264,7385
13,BEDOK NORTH,14278,14023,8195,8377
14,BEDOK RESERVOIR,14278,14023,8195,8377
15,BEDOK SOUTH,14278,14023,8195,8377
16,BENCOOLEN,12733,13384,8195,7782
17,BENDEMEER,14278,14023,8195,8377
18,BENOI SECTOR,1852,1758,812,785
19,BIDADARI,12389,13414,6239,7019
20,BISHAN EAST,14278,14023,8195,8377
21,BOAT QUAY,11644,6418,6823,3701
22,BOON KENG,14278,14023,8195,8377
23,BOON LAY PLACE,14278,14023,8195,8377
24,BOON TECK,14017,13463,8195,7616
25,BOULEVARD,14278,14023,8195,8377
26,BRADDELL,12461,13524,6688,7726
27,BRAS BASAH,14278,14023,8195,8377
28,BRICKWORKS,12232,12688,7188,7390
29,BUGIS,14278,14023,8195,8377
30,BUKIT BATOK CENTRAL,14278,14023,8195,8136
31,BUKIT BATOK EAST,12232,13524,7364,7874
32,BUKIT BATOK SOUTH,14278,13524,8112,7753
33,BUKIT BATOK WEST,13339,11571,8067,7080
34,BUKIT HO SWEE,12215,13524,7304,7726
35,BUKIT MERAH,14278,14023,8195,7874
36,CECIL,12875,13524,5321,5596
37,CENTRAL SUBZONE,14278,13524,7145,5902
38,CENTRAL WATER CATCHMENT,11796,11513,7193,7616
39,CHANGI AIRPORT,14278,14023,8195,8377
40,CHANGI POINT,7675,6902,6195,6053
41,CHANGI WEST,8708,11727,4775,6362
42,CHATSWORTH,12733,13524,7466,7782
43,CHENG SAN,14278,14023,8195,8377
44,CHIN BEE,8806,3630,4142,1754
45,CHINA SQUARE,14278,13524,8195,7726
46,CHINATOWN,14278,14023,8195,8377
47,CHOA CHU KANG CENTRAL,14278,14023,8195,8377
48,CHOA CHU KANG NORTH,5475,5897,3068,3251
49,CHONG BOON,14278,14023,8195,8377
50,CITY HALL,14278,14023,8195,8377
51,CITY TERMINALS,10590,8907,5760,4649
52,CLARKE QUAY,13435,14023,8112,8377
53,CLEMENTI CENTRAL,14278,14023,8195,8377
54,CLEMENTI NORTH,14278,14023,8195,8377
55,CLEMENTI WEST,13643,10296,8112,6144
56,CLEMENTI WOODS,14278,14023,8195,7874
57,CLIFFORD PIER,11749,11186,5012,5534
58,COMMONWEALTH,12981,14023,7591,8136
59,COMPASSVALE,14278,14023,8195,8377
60,CORONATION ROAD,12981,14023,7591,7726
61,CRAWFORD,14278,14023,8195,8377
62,DAIRY FARM,12565,12581,6977,6816
63,DEFU INDUSTRIAL PARK,10231,10494,5418,6001
64,DEPOT ROAD,8751,8491,4648,4649
65,DHOBY GHAUT,14278,14023,8195,8377
66,DOVER,14278,13747,8112,7723
67,DUNEARN,10321,13524,6144,7661
68,EVERTON PARK,14278,13524,8195,7726
69,FABER,10077,10656,5267,5759
70,FAJAR,13642,13907,8112,8136
71,FARRER COURT,12114,11801,6823,6817
72,FARRER PARK,14278,14023,8195,8377
73,FERNVALE,14278,14023,8195,8377
74,FLORA DRIVE,11142,11240,6079,6362
75,FORT CANNING,7950,8751,4745,5786
76,FRANKEL,14278,14023,8195,8377
77,GALI BATU,10890,10096,7193,7080
78,GEYLANG BAHRU,14278,14023,8195,8377
79,GEYLANG EAST,14278,14023,8195,8377
80,GHIM MOH,9575,11186,5623,6656
81,GOMBAK,13874,13524,8112,7874
82,GOODWOOD PARK,7598,5988,4008,3384
83,GREENWOOD PARK,4242,4033,1290,2179
84,GUILIN,13642,13524,8112,7782
85,GUL BASIN,1529,992,704,582
86,GUL CIRCLE,10096,11320,5216,6144
87,HENDERSON HILL,14278,14023,8195,8136
88,HILLCREST,8505,10600,4228,5759
89,HILLVIEW,12981,13524,7591,7712
90,HOLLAND DRIVE,12981,13524,7591,7782
91,HOLLAND ROAD,14278,14023,8112,8136
92,HONG KAH,14278,14023,8195,8377
93,HONG KAH NORTH,12052,12942,6835,7425
94,HOUGANG CENTRAL,14278,14023,8195,8377
95,HOUGANG EAST,14278,14023,8195,8377
96,HOUGANG WEST,14278,14023,8195,8377
97,INSTITUTION HILL,4799,4456,2996,2734
98,INTERNATIONAL BUSINESS PARK,7288,8099,2713,3328
99,ISTANA NEGARA,1796,1961,869,924
100,JELEBU,14278,14023,8195,8377
101,JOO KOON,12478,12925,7364,7008
102,JOO SENG,14278,14023,8195,7874
103,JURONG GATEWAY,14278,14023,8195,8377
