ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
0,ADMIRALTY,8845,8436,5350,5185,0,0,0,0,0.9977138513722528,0.7714583894809576,0.9999465295043631,0.7791044892289394
1,AIRPORT ROAD,2153,2070,515,500,0,0,0,0,0.665974739819834,0.10054991708964445,0.6832951492414233,0.3244500972660298
2,ALEXANDRA HILL,14278,14023,8195,8136,1,1,1,1,0.6793490097988018,0.5301464344128792,0.8833984575136821,0.5212770596840517
3,ALEXANDRA NORTH,5717,6379,2838,2951,0,0,0,0,0.9867019090952768,0.5516726915956571,0.9279965627231067,0.6826445030808486
4,ALJUNIED,14278,14023,8195,8377,1,1,1,1,0.5246513167267928,0.6253707107635783,0.437138775109282,0.5364205629108846
5,ANAK BUKIT,14278,14023,8195,8136,1,1,1,1,0.8542054601658654,0.8888416025359508,0.9857303349486166,0.8355592524783815
6,ANCHORVALE,14278,14023,8195,8377,1,1,1,1,0.3762619925496245,0.18301321257730804,0.2944981287413069,0.1724784779568762
7,ANG MO KIO TOWN CENTRE,14278,14023,8195,8377,1,1,1,1,0.4726568912321089,0.9422221152097435,0.50991547917608,0.9265762967773955
8,ANSON,7101,9675,3378,4649,0,0,0,0,0.762435834816819,0.59491543552239,0.8499422759597833,0.6847443352518251
9,BALESTIER,14278,14023,8195,8377,1,1,1,1,0.47112865360714673,0.4329875476641923,0.47926797366843515,0.4182332679772431
10,BANGKIT,14278,14023,8195,8377,1,1,1,1,0.619931668287215,0.5392791741266983,0.5831546127998246,0.5441538209274374
11,BAYFRONT SUBZONE,12287,12143,8195,7874,0,0,1,1,0.41545248636038384,0.3937365988105321,0.5337071306978055,0.6135370132061969
12,BAYSHORE,7417,12587,4264,7385,0,0,0,0,0.03178733417226702,0.5398291069924027,0.08591429120176916,0.515857718241199
13,BEDOK NORTH,14278,14023,8195,8377,1,1,1,1,0.2785358411574754,0.36255732227079535,0.30302165417864585,0.3851730314617628
14,BEDOK RESERVOIR,14278,14023,8195,8377,1,1,1,1,0.20271596167833045,0.14794104128406865,0.23732925520897655,0.14073129391239325
15,BEDOK SOUTH,14278,14023,8195,8377,1,1,1,1,0.3609399352947492,0.4001697252085795,0.5192681743132997,0.32976751208851746
16,BENCOOLEN,12733,13384,8195,7782,0,0,1,1,0.7071827243442115,0.7557856920959557,0.41000721054851114,0.8071964850053571
17,BENDEMEER,14278,14023,8195,8377,1,1,1,1,0.517493708392747,0.4193175723419043,0.35233547664463905,0.6610650628562764
18,BENOI SECTOR,1852,1758,812,785,0,0,0,0,0.6711394209910764,0.9605800880788079,0.6500224216483542,0.9719829438515998
19,BIDADARI,12389,13414,6239,7019,0,0,0,0,0.38395296953422137,0.438368948723707,0.40811024402506246,0.4574365024125691
20,BISHAN EAST,14278,14023,8195,8377,1,1,1,1,0.396934231274294,0.6328054225473461,0.38318903223773254,0.6411314064864367
