node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
ADMIRALTY,8845,8436,5350,5185,0,0,0,0
AIRPORT ROAD,2153,2070,515,500,0,0,0,0
ALEXANDRA HILL,14278,14023,8195,8136,1,1,1,1
ALEXANDRA NORTH,5717,6379,2838,2951,0,0,0,0
ALJUNIED,14278,14023,8195,8377,1,1,1,1
ANAK BUKIT,14278,14023,8195,8136,1,1,1,1
ANCHORVALE,14278,14023,8195,8377,1,1,1,1
ANG MO KIO TOWN CENTRE,14278,14023,8195,8377,1,1,1,1
ANSON,7101,9675,3378,4649,0,0,0,0
BALESTIER,14278,14023,8195,8377,1,1,1,1
BANGKIT,14278,14023,8195,8377,1,1,1,1
BAYFRONT SUBZONE,12287,12143,8195,7874,0,0,1,1
BAYSHORE,7417,12587,4264,7385,0,0,0,0
BEDOK NORTH,14278,14023,8195,8377,1,1,1,1
BEDOK RESERVOIR,14278,14023,8195,8377,1,1,1,1
BEDOK SOUTH,14278,14023,8195,8377,1,1,1,1
BENCOOLEN,12733,13384,8195,7782,0,0,1,1
BENDEMEER,14278,14023,8195,8377,1,1,1,1
BENOI SECTOR,1852,1758,812,785,0,0,0,0
BIDADARI,12389,13414,6239,7019,0,0,0,0
BISHAN EAST,14278,14023,8195,8377,1,1,1,1
BOAT QUAY,11644,6418,6823,3701,0,0,0,0
BOON KENG,14278,14023,8195,8377,1,1,1,1
BOON LAY PLACE,14278,14023,8195,8377,1,1,1,1
BOON TECK,14017,13463,8195,7616,1,0,1,0
BOULEVARD,14278,14023,8195,8377,1,1,1,1
BRADDELL,12461,13524,6688,7726,0,1,0,1
BRAS BASAH,14278,14023,8195,8377,1,1,1,1
BRICKWORKS,12232,12688,7188,7390,0,0,0,0
BUGIS,14278,14023,8195,8377,1,1,1,1
BUKIT BATOK CENTRAL,14278,14023,8195,8136,1,1,1,1
BUKIT BATOK EAST,12232,13524,7364,7874,0,1,0,1
BUKIT BATOK SOUTH,14278,13524,8112,7753,1,1,1,1
BUKIT BATOK WEST,13339,11571,8067,7080,1,0,1,0
BUKIT HO SWEE,12215,13524,7304,7726,0,1,0,1
BUKIT MERAH,14278,14023,8195,7874,1,1,1,1
CECIL,12875,13524,5321,5596,1,1,0,0
CENTRAL SUBZONE,14278,13524,7145,5902,1,1,0,0
CENTRAL WATER CATCHMENT,11796,11513,7193,7616,0,0,0,0
CHANGI AIRPORT,14278,14023,8195,8377,1,1,1,1
CHANGI POINT,7675,6902,6195,6053,0,0,0,0
CHANGI WEST,8708,11727,4775,6362,0,0,0,0
CHATSWORTH,12733,13524,7466,7782,0,1,0,1
CHENG SAN,14278,14023,8195,8377,1,1,1,1
CHIN BEE,8806,3630,4142,1754,0,0,0,0
CHINA SQUARE,14278,13524,8195,7726,1,1,1,1
CHINATOWN,14278,14023,8195,8377,1,1,1,1
