ind,node,level_1_weekday,level_1_weekend
0,TAMPINES EAST,1,2
1,BEDOK NORTH,1,2
2,TOA PAYOH CENTRAL,1,2
3,ALJUNIED,1,1
4,TAMPINES WEST,1,2
5,GEYLANG EAST,1,1
6,PASIR RIS CENTRAL,1,2
7,FRANKEL,1,2
8,KAKI BUKIT,1,2
9,PASIR RIS DRIVE,1,2
10,CHANGI AIRPORT,1,2
11,BEDOK SOUTH,1,2
12,SIMEI,1,2
13,KEMBANGAN,1,2
14,KAMPONG UBI,1,1
15,MARINE PARADE,1,1
16,PASIR RIS WEST,1,2
17,MACPHERSON,1,1
18,BEDOK RESERVOIR,1,2
19,LORONG 8 TOA PAYOH,1,2
20,BOON TECK,1,2
21,BRADDELL,1,2
22,KATONG,1,1
23,SENNETT,1,1
24,PEI CHUN,1,2
25,TOA PAYOH WEST,1,2
26,JOO SENG,1,1
27,XILIN,1,2
28,POTONG PASIR,1,1
29,DEFU INDUSTRIAL PARK,1,5
30,KALLANG WAY,1,1
31,FLORA DRIVE,1,2
32,PASIR RIS PARK,1,2
33,MOUNTBATTEN,1,1
34,TAMPINES NORTH,1,2
35,CHANGI WEST,1,2
36,LOYANG WEST,1,2
37,PAYA LEBAR NORTH,1,2
38,TANJONG RHU,1,1
39,WOODLEIGH,1,1
40,BIDADARI,1,1
41,CHANGI POINT,1,2
42,SIGLAP,1,2
43,KIM KEAT,1,2
44,PASIR RIS WAFER FAB PARK,1,2
45,BAYSHORE,1,2
46,LOYANG EAST,1,2
47,AIRPORT ROAD,1,1
48,PAYA LEBAR WEST,1,2
49,PAYA LEBAR EAST,1,2
50,PLAB,1,2
51,LORONG HALUS,1,5
52,MARITIME SQUARE,2,1
53,BOULEVARD,2,1
54,BALESTIER,2,1
55,TIONG BAHRU STATION,2,1
56,BENDEMEER,2,1
57,ALEXANDRA HILL,2,1
58,LAVENDER,2,1
59,MOULMEIN,2,1
60,CHINATOWN,2,1
61,FARRER PARK,2,1
62,BUKIT MERAH,2,1
63,SOMERSET,2,1
64,TELOK BLANGAH DRIVE,2,1
65,BUGIS,2,1
66,CITY HALL,2,1
67,VICTORIA,2,1
68,KALLANG BAHRU,2,1
69,DHOBY GHAUT,2,1
70,REDHILL,2,1
71,BOON KENG,2,1
72,GEYLANG BAHRU,2,1
73,HENDERSON HILL,2,1
74,MEI CHIN,2,1
75,PEOPLE'S PARK,2,1
76,CRAWFORD,2,1
77,TANGLIN HALT,2,1
78,BRAS BASAH,2,1
79,TELOK BLANGAH RISE,2,1
80,NEWTON CIRCUS,2,1
81,KAMPONG TIONG BAHRU,2,1
82,SINGAPORE GENERAL HOSPITAL,2,1
83,EVERTON PARK,2,1
84,KAMPONG JAVA,2,1
85,HOLLAND DRIVE,2,1
86,TIONG BAHRU,2,1
87,MARINA CENTRE,2,1
88,CENTRAL SUBZONE,2,1
89,MALCOLM,2,1
90,PEARL'S HILL,2,1
91,COMMONWEALTH,2,1
92,NASSIM,2,1
93,TELOK BLANGAH WAY,2,1
94,CHATSWORTH,2,1
95,MARGARET DRIVE,2,1
96,CLARKE QUAY,2,1
97,CHINA SQUARE,2,1
98,BUKIT HO SWEE,2,1
99,CECIL,2,1
100,ROBERTSON QUAY,2,1
101,PASIR PANJANG 2,2,1
102,TYERSALL,2,1
103,KAMPONG BUGIS,2,1
104,BENCOOLEN,2,1
105,SUNGEI ROAD,2,1
106,LEEDON PARK,2,1
107,RAFFLES PLACE,2,1
108,DEPOT ROAD,2,1
109,BOAT QUAY,2,1
110,CLIFFORD PIER,2,1
111,DUNEARN,2,1
112,RIDOUT,2,1
113,QUEENSWAY,2,1
114,FARRER COURT,2,1
115,CITY TERMINALS,2,1
116,BAYFRONT SUBZONE,2,1
117,TANJONG PAGAR,2,1
118,FORT CANNING,2,1
119,KAMPONG GLAM,2,1
120,MACKENZIE,2,1
121,SELEGIE,2,1
122,ONE TREE HILL,2,1
123,ANSON,2,1
124,ROCHOR CANAL,2,1
125,MOUNT PLEASANT,2,6
126,PATERSON,2,1
127,INSTITUTION HILL,2,1
128,GOODWOOD PARK,2,1
129,LEONIE HILL,2,1
130,ALEXANDRA NORTH,2,1
131,LITTLE INDIA,2,1
132,SENTOSA,2,1
133,OXLEY,2,1
134,MAXWELL,2,1
135,TANGLIN,2,1
136,ORANGE GROVE,2,1
137,PHILLIP,2,1
138,MARINA SOUTH,2,1
139,MONK'S HILL,2,1
140,STRAITS VIEW,2,1
141,ISTANA NEGARA,2,1
142,SENGKANG TOWN CENTRE,3,2
143,SERANGOON CENTRAL,3,5
144,ANG MO KIO TOWN CENTRE,3,6
145,HOUGANG CENTRAL,3,5
146,BISHAN EAST,3,6
147,RIVERVALE,3,2
148,HOUGANG WEST,3,5
149,TRAFALGAR,3,5
150,CHONG BOON,3,6
151,LORONG AH SOO,3,5
152,UPPER THOMSON,3,6
153,CHENG SAN,3,6
154,SERANGOON GARDEN,3,5
155,YIO CHU KANG,3,6
156,MARYMOUNT,3,6
157,ANCHORVALE,3,2
158,SERANGOON NORTH,3,5
159,FERNVALE,3,2
160,KANGKAR,3,5
161,KOVAN,3,5
162,SHANGRI-LA,3,6
163,HOUGANG EAST,3,5
164,COMPASSVALE,3,5
165,UPPER PAYA LEBAR,3,5
166,TAI SENG,3,5
167,KEBUN BAHRU,3,6
168,TOWNSVILLE,3,6
169,YIO CHU KANG WEST,3,6
170,SELETAR HILLS,3,6
171,YIO CHU KANG EAST,3,6
172,TAGORE,3,6
173,CENTRAL WATER CATCHMENT,3,6
174,SERANGOON NORTH IND ESTATE,3,6
175,SEMBAWANG HILLS,3,6
176,LORONG CHUAN,3,5
177,YIO CHU KANG NORTH,3,6
178,NEE SOON,3,6
179,SENGKANG WEST,3,6
180,JURONG GATEWAY,4,3
181,CLEMENTI CENTRAL,4,9
182,JELEBU,4,7
183,BUKIT BATOK CENTRAL,4,10
184,CLEMENTI NORTH,4,9
185,ANAK BUKIT,4,10
186,YUHUA WEST,4,3
187,YUHUA EAST,4,3
188,ONE NORTH,4,9
189,TEBAN GARDENS,4,3
190,BANGKIT,4,7
191,SENJA,4,7
192,CLEMENTI WOODS,4,9
193,TOH GUAN,4,3
194,HOLLAND ROAD,4,1
195,BUKIT BATOK SOUTH,4,10
196,CLEMENTI WEST,4,9
197,JOO KOON,4,11
198,DOVER,4,9
199,HONG KAH NORTH,4,10
200,GUILIN,4,10
201,BRICKWORKS,4,10
202,BUKIT BATOK WEST,4,10
203,TOH TUCK,4,3
204,HILLVIEW,4,10
205,SWISS CLUB,4,1
206,BUKIT BATOK EAST,4,10
207,PASIR PANJANG 1,4,9
208,NATIONAL UNIVERSITY OF S'PORE,4,9
209,FAJAR,4,7
210,LAKESIDE,4,3
211,SINGAPORE POLYTECHNIC,4,9
212,SAUJANA,4,7
213,GOMBAK,4,7
214,GHIM MOH,4,9
215,CORONATION ROAD,4,1
216,HILLCREST,4,1
217,FABER,4,9
218,DAIRY FARM,4,7
219,NATURE RESERVE,4,7
220,PORT,4,9
221,ULU PANDAN,4,9
222,WEST COAST,4,3
223,JURONG RIVER,4,3
224,PENJURU CRESCENT,4,9
225,KENT RIDGE,4,1
226,PANDAN,4,9
227,SUNSET WAY,4,9
228,GUL CIRCLE,4,11
229,INTERNATIONAL BUSINESS PARK,4,3
230,TENGAH,4,7
231,GUL BASIN,4,11
232,BENOI SECTOR,4,11
233,PIONEER SECTOR,4,11
234,MANDAI WEST,4,7
235,WOODLANDS REGIONAL CENTRE,5,4
236,WOODLANDS EAST,5,4
237,NORTH COAST,5,4
238,WOODLANDS WEST,5,4
239,SEMBAWANG CENTRAL,5,4
240,MIDVIEW,5,4
241,WOODLANDS SOUTH,5,4
242,SEMBAWANG NORTH,5,4
243,TURF CLUB,5,4
244,WOODGROVE,5,4
245,ADMIRALTY,5,4
246,GALI BATU,5,7
247,SENOKO SOUTH,5,4
248,SENOKO NORTH,5,4
249,KRANJI,5,4
250,SENOKO WEST,5,4
251,SEMBAWANG SPRINGS,5,4
252,SEMBAWANG EAST,5,8
253,GREENWOOD PARK,5,4
254,MANDAI EAST,5,4
255,RESERVOIR VIEW,5,4
256,PANG SUA,5,7
257,SEMBAWANG STRAITS,5,4
258,THE WHARVES,5,4
259,JURONG WEST CENTRAL,6,3
260,HONG KAH,6,3
261,YUNNAN,6,3
262,TAMAN JURONG,6,3
263,BOON LAY PLACE,6,3
264,WESTERN WATER CATCHMENT,6,7
265,WENYA,6,3
266,KIAN TECK,6,3
267,CHIN BEE,6,3
268,LIU FANG,6,3
269,TUKANG,6,3
270,JURONG PORT,6,3
271,SAMULUN,6,3
272,SHIPYARD,6,3
273,SAFTI,6,11
274,YISHUN CENTRAL,7,8
275,YISHUN WEST,7,8
276,KHATIB,7,8
277,YISHUN EAST,7,8
278,YISHUN SOUTH,7,8
279,NORTHLAND,7,8
