node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
ADMIRALTY,3001700.0,2277885.0,0.002483618403564357,0.0008194106093246304,0.0006495678039273371,1273000.0,947890.0,0.002648075581000212,0.0013217030180155184,0.001210497191646671
AIRPORT ROAD,463360.0,428300.0,0.0007392532318648685,0.00044522784084528844,0.00027988273884994007,26560.0,24980.0,0.0005371987976161547,5.2710214256021326e-05,3.353675742991934e-05
ALEXANDRA HILL,7956700.0,6582233.0,0.005698240811065503,0.00042638005195893587,0.0005175053073716782,2725460.0,2034360.0,0.005546997943969324,0.0006340667948495562,0.000832500811458072
ALEXANDRA NORTH,628620.0,954280.0,0.0008777984706246922,5.569995550460668e-05,2.5887988304235848e-05,154940.0,192740.0,0.0007632949347436194,5.3474138475836636e-05,3.5443431752134844e-05
ALJUNIED,20250634.0,18894418.0,0.011400552772261863,0.011759778530009996,0.013467163524852568,8329963.0,7877094.0,0.012874762237147237,0.014025532599752507,0.01705509061014218
ANAK BUKIT,8922566.0,9919597.0,0.0060322957522695635,0.0010651715085071625,0.0006384031116085661,2545864.0,2579234.0,0.005213847005599813,0.0012734422139222042,0.0010066919212626162
ANCHORVALE,6608816.0,6488881.0,0.003525119730076002,0.005592252740760941,0.005542937981197847,2162765.0,2228321.0,0.0032865979236037066,0.005443858503300164,0.0051135314414873624
ANG MO KIO TOWN CENTRE,14608180.0,15452960.0,0.008163940185504228,0.003915373177043797,0.0029746314663212266,5859600.0,5900766.0,0.009403286473412877,0.004394191770131354,0.0037763220011319213
ANSON,883524.0,1209602.0,0.0013110797626341238,0.00031022660499079534,7.537588685343756e-05,212928.0,245740.0,0.0011077192506896664,0.00017301625185228389,8.165160595616428e-05
BALESTIER,10927940.0,10865336.0,0.006666290018705312,0.00246756877907179,0.004352491113045935,4253040.0,4386108.0,0.007251712426654147,0.0034298384608403057,0.004905808522904719
BANGKIT,6138294.0,6772892.0,0.004102032832766807,0.001280341305365326,0.0012851005180215568,2434399.0,2551249.0,0.0044603768717273095,0.0022260802734336057,0.002057361956440369
BAYFRONT SUBZONE,1312448.0,1236114.0,0.0013663278624948137,0.0005360956691679237,0.00036616545133640976,902973.0,870723.0,0.0021955823204234276,0.0010223221815560948,0.0008490884146112507
BAYSHORE,1000140.0,1928140.0,0.0009451522335555846,0.002893954795691785,0.003181033123256151,343260.0,658840.0,0.0009476481573718473,0.0023912268804406256,0.0023861943848720543
BEDOK NORTH,25699702.0,25439539.0,0.012792388601307552,0.056409931493564325,0.04831993718165307,9533701.0,9345496.0,0.013497100736432842,0.04558956700749375,0.041800830113357876
BEDOK RESERVOIR,6666844.0,7359312.0,0.0035519335678327432,0.023475068513659117,0.02261178108215907,2376346.0,2651030.0,0.003637877042796706,0.019421586957521563,0.01825362116970158
BEDOK SOUTH,10564642.0,10564290.0,0.005625755636849241,0.022975633161422725,0.02704496264908184,3659077.0,3525176.0,0.005581791878113042,0.018480155832579892,0.022008900101733123
