node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
ADMIRALTY,0.08502713635098572,0.06408807996660475,0.09508095839020268,0.00860115629436575,0.008298072650391087,0.10221964833835527,0.07709034838054175,0.10644399122645769,0.018868030159992912,0.020532365214944247
AIRPORT ROAD,0.011361252001380252,0.011493265784543778,0.009982211427353647,0.004665546917889804,0.0035647300165331285,0.00047995043777111996,0.001953900963273175,0.00028953371449798554,0.0007516235142715531,0.0005188734883730975
ALEXANDRA HILL,0.22882759529356045,0.18648655488661425,0.2519061136244831,0.004467308140170504,0.006607181931963633,0.22077556889023298,0.16554263086251703,0.2522286875349417,0.00905119163553777,0.01410476815420467
ALEXANDRA NORTH,0.01615730928591101,0.026450037364914743,0.016741132327295166,0.0005685394469798473,0.0003126533299015008,0.01095886832910724,0.015611668696552667,0.011659743937682217,0.0007625294561899696,0.0005512953180825389
ALJUNIED,0.5856133372531414,0.5365959482100671,0.5300930498015572,0.1236706308875633,0.1724109298379242,0.6782387777915179,0.6412144471437224,0.6207366219823318,0.20023055796855074,0.28995997728499
ANAK BUKIT,0.256858266146644,0.2813878648766389,0.26820296326034093,0.011186039887815698,0.008155123099168937,0.20611618473684146,0.20990220725678818,0.2354747692529283,0.0181790488281731,0.017066781348161766
ANCHORVALE,0.18971027182204614,0.18383199665137567,0.14589053615764674,0.058801336065490664,0.0709513953602885,0.1748460261042431,0.18133348855990986,0.13855481523186208,0.07771678391735527,0.08690107345422646
ANG MO KIO TOWN CENTRE,0.4218620809943388,0.43873462038497807,0.3721951050329658,0.041164118400427524,0.03806752778739766,0.476597314644651,0.4803165645210663,0.44615863175290926,0.0627315221221465,0.06416264547210293
ANSON,0.023554950494043818,0.03371037584440726,0.03787873334722598,0.0032456201483487927,0.0009462823352115555,0.01569209383684052,0.01992653332378093,0.028980592175240495,0.002469137666103104,0.0013370370348359422
BALESTIER,0.3150567932004294,0.3082809068129263,0.29913233431786357,0.025936285790395617,0.0557092515826208,0.34546310115730905,0.3570044093031738,0.3379575384781393,0.04896421260746243,0.08336887237795194
BANGKIT,0.17605511954301925,0.1919081357694272,0.17403520617396298,0.013449169944527986,0.016435253118322182,0.19701794059633843,0.20762387732107151,0.1975833044633671,0.03177910898704087,0.034932782145698935
BAYFRONT SUBZONE,0.03600287542875318,0.03446427129316728,0.0405740084802662,0.005621283812509294,0.004669469374861309,0.07201648156333244,0.07080798689583755,0.08368843439696798,0.014594006730414001,0.01438683019199162
BAYSHORE,0.026939296471853565,0.054142728287117234,0.020026981484136255,0.030420962655200327,0.04071023601328844,0.026330342213640796,0.053558053654120454,0.020930733363842616,0.03413677648510443,0.04052437630172972
BEDOK NORTH,0.7437522836122327,0.7227130624784597,0.5979936745969893,0.5932955721391037,0.6186559503756008,0.7764929580741254,0.7607607839050665,0.652033572283031,0.6508453140302842,0.7107461298331615
BEDOK RESERVOIR,0.1913943188516162,0.20858357968395083,0.1471986475734122,0.24689064258174084,0.2894960172359311,0.19227940951403794,0.21574730198841988,0.15622038653699086,0.2772657584347373,0.3103402557892097
BEDOK SOUTH,0.3045134190060965,0.299720360295598,0.24836992888560872,0.24163764158655032,0.34625721560881,0.29698133213182476,0.28691374829847793,0.2539784491661308,0.2638256908174471,0.37419647529517425
BENCOOLEN,0.05451122789920444,0.0553077799780929,0.051146477305821704,0.01041940767263474,0.01731378972457912,0.07561717096152928,0.07604289463914705,0.070532039011768,0.016622992348411265,0.028979721901223877
BENDEMEER,0.24395464902095249,0.2352055411542972,0.23507162354296815,0.048843738567458043,0.03298752674296727,0.25318283458891794,0.2271291821621868,0.24160500800083476,0.06191550963117105,0.059596217101315525
BENOI SECTOR,0.018033245040915656,0.021459517930040594,0.028979457031065227,0.0019721004420466945,0.0013723610432183134,0.00917456279004658,0.012535902930200144,0.017213959843296905,0.0043859444824664385,0.002107786964893559
BIDADARI,0.037864706840055294,0.049610824792104345,0.03310279106218252,0.005939859626680022,0.030877935243077057,0.02561661999801653,0.035830228801802796,0.024225684678396663,0.006415115790560476,0.018655160757447456
BISHAN EAST,0.3674416897119841,0.2926305241211283,0.31754861865104433,0.03529130288500917,0.034055339535256184,0.3390252353532472,0.26925398432971426,0.3083700962496052,0.04110309720349981,0.045366592118030874
BOAT QUAY,0.045908187687604456,0.020359499389763263,0.049550418669898254,0.0004929425952825922,0.005902826981077706,0.04608993438636745,0.02009912790887006,0.04738830479433645,0.0009826909920000605,0.010049144394347552
BOON KENG,0.13322646729431964,0.1373337488781995,0.13325819975798256,0.036293830452598985,0.021009794764789803,0.1641641087675436,0.17404486807911995,0.1606353976154536,0.07329971836329306,0.044289372900795904
BOON LAY PLACE,0.2493026911145827,0.2460653095486978,0.2471235966945674,0.02975657914200295,0.03499668708204703,0.2745300179205984,0.28058017832602794,0.2787403078852427,0.1309255277550954,0.13315478415901497
BOON TECK,0.12130374052418823,0.09714934705238026,0.11248904542954784,0.012614688133525145,0.018276097028863642,0.13626837718390714,0.09668064791355942,0.13222318847636136,0.01696716308625363,0.029593488106854728
BOULEVARD,0.3421180661261549,0.29976383895209896,0.36415702831356034,0.03194716962176357,0.02878342097466988,0.4685761837655132,0.42876891213307367,0.5135431528762002,0.07000325457366906,0.05960802218086644
BRADDELL,0.1093446500860336,0.11117245074030303,0.11510431659494982,0.01966806141349708,0.020774931016353474,0.09025516956820377,0.09848637805378438,0.09983031789780612,0.023279824975624606,0.020960553297170104
BRAS BASAH,0.11846168624684285,0.11725266644448666,0.12622866033176436,0.013611748565188576,0.009360829425820942,0.12035467357860596,0.1275478868561082,0.1293617640055933,0.022920078245421905,0.016815557324900348
BRICKWORKS,0.12179713136222711,0.11877672273868332,0.11901064125017914,0.003689940248802154,0.005474974892981978,0.11739310185519618,0.10965463172223344,0.11808540054460594,0.009184409314943078,0.01801522430916864
BUGIS,0.18022893149148791,0.1673030550509744,0.1813374723431452,0.015530365960611556,0.03386080409438676,0.23326081021021094,0.2356771732263464,0.23291772747880213,0.03828797331121833,0.069390577675835
BUKIT BATOK CENTRAL,0.3542486143062738,0.3655924585431437,0.344008912612483,0.00835157563384241,0.011801439415620436,0.3429087526879877,0.3540589036010395,0.35585532314884666,0.02581391622466225,0.028605296999496082
BUKIT BATOK EAST,0.10185541770768429,0.12449142199377365,0.0988593873039008,0.0035815474808399976,0.004437451510904289,0.11622963016472176,0.1319843004057601,0.1191227417449028,0.009440838539970367,0.015359746397503263
BUKIT BATOK SOUTH,0.14434663949500645,0.13513061227275364,0.12914020344796306,0.004881674902433601,0.005855754192795931,0.12681465954740184,0.13350663349377032,0.1260383402150131,0.013314072970224033,0.011200297067856784
BUKIT BATOK WEST,0.11730141533896714,0.10106950670350456,0.11187323149392907,0.003751499579188444,0.0044394654160572556,0.11489891043904446,0.1074135073173591,0.11721674470369721,0.0139632824274529,0.012713626900178838
BUKIT HO SWEE,0.0762545828234052,0.07353147922977091,0.08067719264970562,0.0024990653342598862,0.002801076855967982,0.07920651459257473,0.08188660535759644,0.08461887427895484,0.005452820718121011,0.00566559314408721
BUKIT MERAH,0.18355555413673727,0.15846463186175094,0.2114738342918308,0.0038913951458572054,0.005735677945413855,0.14345457387461621,0.12628631813415483,0.17560118213234954,0.0067561596039202665,0.008965217462370214
CECIL,0.06556198119014542,0.07172172636143076,0.09033072170325301,0.008508450132933087,0.005718580399656209,0.019609403600362903,0.023333403890868118,0.03569004074348812,0.003387930630919447,0.0024058005719160753
CENTRAL SUBZONE,0.0848626727383061,0.05757435731777922,0.12816369911480374,0.005655126283270875,0.015521429781788944,0.03877305731285708,0.026077576381245155,0.09292633180378844,0.0019878576095027165,0.005775303301083758
CENTRAL WATER CATCHMENT,0.05675924552789279,0.05497155261742081,0.06302788958109691,0.0028123292511167378,0.0034403185238303185,0.07141303367448178,0.0756836210995252,0.08172144768333182,0.008054380353567425,0.008313392966735016
CHANGI AIRPORT,0.31320854374972973,0.29853472093470296,0.2551823385802109,0.2830204003684973,0.3697782300314087,0.36051713843427596,0.3616832693973518,0.30628214954953825,0.33748210515777943,0.42939326453068655
CHANGI POINT,0.03807244118619272,0.03563202440491966,0.032622246077113976,0.03343719258549155,0.05317293337922582,0.08726772296575089,0.08192869564084695,0.0835847656296236,0.07939029123019246,0.12237167328111428
CHANGI WEST,0.058352513983179845,0.09137095113897588,0.048612133948097457,0.121013242427221,0.12034507279011919,0.04397749946638164,0.07428389529696038,0.04101681465476905,0.09664605500021595,0.08572057669053512
CHATSWORTH,0.08744286797608762,0.09020132125068389,0.09107177288369782,0.0036645716826937554,0.003219497416553192,0.0870799872502962,0.09768340617041925,0.09291665608419726,0.00794462468382013,0.0057233892029579635
CHENG SAN,0.26475629232210024,0.33354246121612846,0.22213445915593105,0.037997205889246675,0.04595429717830974,0.23139349283522967,0.2697294335641107,0.20821424076550857,0.04728847121000684,0.04544218785830562
