ind,sub_zone,xx,yy
0,MARINA SOUTH,31595.83574613999,29220.18737674884
1,PEARL'S HILL,28679.063482188954,29782.05196581279
2,BOAT QUAY,29654.959447992474,29974.655356499807
3,HENDERSON HILL,26782.826114537977,29933.76519384831
4,REDHILL,26201.95801931446,30005.703511426786
5,ALEXANDRA HILL,25358.82086871003,29991.384227892642
6,BUKIT HO SWEE,27680.06279379669,30230.86100326741
7,CLARKE QUAY,29253.20737914155,30222.86451497017
8,PASIR PANJANG 1,22077.338362873998,29893.781282844575
9,QUEENSWAY,24168.31066714539,30104.176894295317
10,KENT RIDGE,23464.84096945936,29725.370664883834
11,ALEXANDRA NORTH,26548.25074103508,30519.39221732218
12,MARINA EAST,32344.048917584205,30103.249579339245
13,INSTITUTION HILL,28465.399957863778,30711.217954895546
14,ROBERTSON QUAY,28416.847705809705,30409.360710004737
15,JURONG ISLAND AND BUKOM,13012.880555036538,27225.867493559617
16,SUDONG,15931.758650202442,19579.069041529252
17,SEMAKAU,21206.333887319368,20465.80754648866
18,SOUTHERN GROUP,29815.090035302826,23412.586672154845
19,SENTOSA,27593.939398987364,25813.35469226122
20,CITY TERMINALS,28387.338879345003,27536.56717797017
21,ANSON,29145.35005232677,28466.778334447317
22,STRAITS VIEW,30832.901787749663,28194.084366665516
23,MARITIME SQUARE,25805.786755556164,27911.41936687398
24,TELOK BLANGAH WAY,26570.517350398142,28871.892241833903
25,MAXWELL,29392.0478273365,29096.75392269798
26,CECIL,29730.19835383722,29011.328474455593
27,KAMPONG TIONG BAHRU,27335.83050425691,28979.77318571346
28,TELOK BLANGAH DRIVE,25280.261256543246,28791.460639047047
29,PASIR PANJANG 2,23692.638502193782,28894.40998435721
30,CENTRAL SUBZONE,30125.836768927835,28683.03994913768
31,SINGAPORE GENERAL HOSPITAL,28147.221049078154,29131.036838792472
32,DEPOT ROAD,25244.207197926473,29407.094094339376
33,PEOPLE'S PARK,28831.780734615728,29419.64575133986
34,BUKIT MERAH,26360.799076920233,29384.142962963735
35,CHINATOWN,29153.967661095852,29158.044396984555
36,PHILLIP,29706.724254032208,29744.90793233342
37,RAFFLES PLACE,29968.61758762941,29572.761894470364
38,CHINA SQUARE,29509.64371894011,29646.449509589736
39,TIONG BAHRU,27785.672063140315,29590.39517940958
40,BAYFRONT SUBZONE,30806.241886055977,29530.167087400507
41,TIONG BAHRU STATION,27277.469823286847,29607.023713238825
42,CLIFFORD PIER,30379.504158819294,29776.433458651285
43,MARINA EAST (MP),33715.69752887327,30512.247665074665
44,MARINA CENTRE,30938.098571689057,30471.826782067328
45,BRAS BASAH,29793.09317307879,30958.095292083843
46,OXLEY,28802.355543490634,31053.671768288063
47,CITY HALL,30209.07365592651,30536.50791873865
48,MEI CHIN,24651.06939507004,30651.134086325186
49,EAST COAST,36386.52619616025,31338.901602072736
50,NATIONAL UNIVERSITY OF S'PORE,21688.92435701273,30930.121367361266
51,ONE TREE HILL,27315.55925270865,31563.79681046792
52,SOMERSET,28626.561106512545,31494.904838077186
53,BENCOOLEN,29999.06269428174,31594.59407815698
54,LEONIE HILL,28082.939717445217,31145.107959763754
55,PORT,21576.076592139707,28788.217285647737
56,DHOBY GHAUT,29320.073554728595,31245.748357182987
57,BUGIS,30528.33477001714,31278.46446003717
58,VICTORIA,30189.210191927043,31335.725290639188
59,PATERSON,27809.317106348877,31511.373390977304
60,TELOK BLANGAH RISE,27029.96389336873,28501.66496992359
61,TANJONG PAGAR,29397.83104729858,28706.35153202776
62,EVERTON PARK,28333.577171399804,28602.992668595456
63,TANGLIN HALT,23925.44081984584,31512.7857427768
64,MACKENZIE,29680.0182285785,32062.926337235265
65,SUNGEI ROAD,30601.34450753796,32003.10285420707
66,ONE NORTH,23299.243777977365,31176.160569120173
67,TANJONG RHU,32740.120813032518,31438.308438870205
68,MOUNTBATTEN,34449.70449213887,31557.744610160942
69,COMMONWEALTH,24278.770993891714,31919.970091767424
70,DOVER,22015.532460451195,31800.52474169349
71,RIDOUT,25568.307760726144,31752.668628782943
72,CAIRNHILL,28482.667258639478,32108.19191955227
73,CLEMENTI WEST,20184.350834316938,31651.883436949975
