ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.0252514,TAMPINES EAST,40,1,1_1
1,1:2,0.018873599999999997,BEDOK NORTH,16,1,1_2
2,1:3,0.014610399999999999,TAMPINES WEST,78,1,1_3
3,1:4,0.0125543,ALJUNIED,21,1,1_4
4,1:5,0.0112053,GEYLANG EAST,10,1,1_5
5,1:6,0.00943675,FRANKEL,121,1,1_6
6,1:7,0.00769939,KAKI BUKIT,25,1,1_7
7,1:8,0.00764165,CHANGI AIRPORT,41,1,1_8
8,1:9,0.00731827,BEDOK SOUTH,123,1,1_9
9,1:10,0.00693634,SIMEI,28,1,1_10
10,1:11,0.00633914,MARINE PARADE,50,1,1_11
11,1:12,0.00591447,KEMBANGAN,91,1,1_12
12,1:13,0.00485861,BEDOK RESERVOIR,74,1,1_13
13,1:14,0.00472745,MACPHERSON,20,1,1_14
14,1:15,0.00464502,KAMPONG UBI,56,1,1_15
15,1:16,0.00280838,KATONG,159,1,1_16
16,1:17,0.00188582,FLORA DRIVE,27,1,1_17
17,1:18,0.00172659,MOUNTBATTEN,107,1,1_18
18,1:19,0.00166125,TAMPINES NORTH,256,1,1_19
19,1:20,0.00151841,XILIN,239,1,1_20
20,1:21,0.00121362,KAMPONG BUGIS,140,1,1_21
21,1:22,0.00111107,CHANGI WEST,168,1,1_22
22,1:23,0.00107059,TANJONG RHU,54,1,1_23
23,1:24,0.000940748,CHANGI POINT,235,1,1_24
24,1:25,0.000878695,PAYA LEBAR NORTH,139,1,1_25
25,1:26,0.0008134860000000001,SIGLAP,198,1,1_26
26,1:27,0.000744537,BAYSHORE,98,1,1_27
27,1:28,0.00041579,LOYANG EAST,182,1,1_28
28,1:29,0.00015824,PAYA LEBAR EAST,290,1,1_29
29,1:30,8.808629999999999e-05,PAYA LEBAR WEST,267,1,1_30
30,1:31,8.60626e-05,PLAB,259,1,1_31
31,1:32,5.99914e-05,AIRPORT ROAD,303,1,1_32
32,2:1,0.0110957,JELEBU,48,2,2_1
33,2:2,0.0108152,CLEMENTI CENTRAL,37,2,2_2
34,2:3,0.0106055,JURONG GATEWAY,89,2,2_3
35,2:4,0.00841668,BUKIT BATOK CENTRAL,58,2,2_4
