ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.023149400000000004,TAMPINES EAST,40,1,1_1
1,1:2,0.0176357,BEDOK NORTH,16,1,1_2
2,1:3,0.0136834,TOA PAYOH CENTRAL,68,1,1_3
3,1:4,0.013282200000000001,ALJUNIED,21,1,1_4
4,1:5,0.0127344,TAMPINES WEST,78,1,1_5
5,1:6,0.0111004,GEYLANG EAST,10,1,1_6
6,1:7,0.0100948,PASIR RIS CENTRAL,24,1,1_7
7,1:8,0.00993337,FRANKEL,121,1,1_8
8,1:9,0.00909126,KAKI BUKIT,25,1,1_9
9,1:10,0.00782367,PASIR RIS DRIVE,30,1,1_10
10,1:11,0.0073409999999999994,CHANGI AIRPORT,41,1,1_11
11,1:12,0.00732273,BEDOK SOUTH,123,1,1_12
12,1:13,0.00711513,SIMEI,28,1,1_13
13,1:14,0.0063729,KEMBANGAN,91,1,1_14
14,1:15,0.00613514,KAMPONG UBI,56,1,1_15
15,1:16,0.00582976,MARINE PARADE,50,1,1_16
16,1:17,0.00506732,PASIR RIS WEST,127,1,1_17
17,1:18,0.00488371,MACPHERSON,20,1,1_18
18,1:19,0.00460338,BEDOK RESERVOIR,74,1,1_19
19,1:20,0.00294235,LORONG 8 TOA PAYOH,57,1,1_20
20,1:21,0.00290254,BOON TECK,122,1,1_21
21,1:22,0.00279799,BRADDELL,186,1,1_22
22,1:23,0.00270493,KATONG,159,1,1_23
23,1:24,0.00255505,SENNETT,136,1,1_24
24,1:25,0.00253366,PEI CHUN,67,1,1_25
25,1:26,0.00244996,TOA PAYOH WEST,94,1,1_26
26,1:27,0.00241921,JOO SENG,175,1,1_27
27,1:28,0.00220003,XILIN,239,1,1_28
28,1:29,0.00215927,POTONG PASIR,243,1,1_29
29,1:30,0.00196883,DEFU INDUSTRIAL PARK,9,1,1_30
30,1:31,0.0019267,KALLANG WAY,161,1,1_31
31,1:32,0.00190093,FLORA DRIVE,27,1,1_32
32,1:33,0.00165835,PASIR RIS PARK,151,1,1_33
33,1:34,0.00165186,MOUNTBATTEN,107,1,1_34
34,1:35,0.0016237000000000003,TAMPINES NORTH,256,1,1_35
35,1:36,0.00145513,CHANGI WEST,168,1,1_36
36,1:37,0.00140162,LOYANG WEST,129,1,1_37
37,1:38,0.00111617,PAYA LEBAR NORTH,139,1,1_38
38,1:39,0.00106319,TANJONG RHU,54,1,1_39
39,1:40,0.0010517999999999999,WOODLEIGH,247,1,1_40
40,1:41,0.0009789,BIDADARI,62,1,1_41
41,1:42,0.000970808,CHANGI POINT,235,1,1_42
42,1:43,0.000844664,SIGLAP,198,1,1_43
43,1:44,0.000794474,KIM KEAT,199,1,1_44
44,1:45,0.00074422,PASIR RIS WAFER FAB PARK,119,1,1_45
45,1:46,0.000695271,BAYSHORE,98,1,1_46
46,1:47,0.000566971,LOYANG EAST,182,1,1_47
47,1:48,0.000312623,AIRPORT ROAD,303,1,1_48
48,1:49,0.000228753,PAYA LEBAR WEST,266,1,1_49
49,1:50,0.000226505,PAYA LEBAR EAST,289,1,1_50
50,1:51,0.00018529900000000002,PLAB,295,1,1_51
51,1:52,5.6978299999999996e-05,LORONG HALUS,293,1,1_52
52,2:1,0.00785497,MARITIME SQUARE,38,2,2_1
53,2:2,0.0075423999999999995,BOULEVARD,79,2,2_2
54,2:3,0.00718724,BALESTIER,108,2,2_3
55,2:4,0.00636723,TIONG BAHRU STATION,126,2,2_4
56,2:5,0.0055927,BENDEMEER,173,2,2_5
57,2:6,0.00517269,ALEXANDRA HILL,106,2,2_6
58,2:7,0.00508222,LAVENDER,82,2,2_7
59,2:8,0.00483552,MOULMEIN,128,2,2_8
60,2:9,0.00449675,CHINATOWN,5,2,2_9
61,2:10,0.00437584,FARRER PARK,188,2,2_10
62,2:11,0.00437106,BUKIT MERAH,194,2,2_11
63,2:12,0.00429214,SOMERSET,76,2,2_12
64,2:13,0.00417373,TELOK BLANGAH DRIVE,142,2,2_13
65,2:14,0.00416289,BUGIS,95,2,2_14
66,2:15,0.00407323,CITY HALL,206,2,2_15
67,2:16,0.00387116,VICTORIA,185,2,2_16
68,2:17,0.0037327,KALLANG BAHRU,166,2,2_17
69,2:18,0.00352369,DHOBY GHAUT,233,2,2_18
70,2:19,0.00343089,REDHILL,84,2,2_19
71,2:20,0.00320932,BOON KENG,197,2,2_20
72,2:21,0.00312906,GEYLANG BAHRU,133,2,2_21
73,2:22,0.00312898,HENDERSON HILL,125,2,2_22
74,2:23,0.00303923,MEI CHIN,169,2,2_23
75,2:24,0.00297986,PEOPLE'S PARK,177,2,2_24
76,2:25,0.00282086,CRAWFORD,92,2,2_25
77,2:26,0.0027783,TANGLIN HALT,195,2,2_26
78,2:27,0.00269693,BRAS BASAH,212,2,2_27
79,2:28,0.00268633,TELOK BLANGAH RISE,146,2,2_28
80,2:29,0.00256854,NEWTON CIRCUS,205,2,2_29
81,2:30,0.00235252,KAMPONG TIONG BAHRU,200,2,2_30
82,2:31,0.00222228,SINGAPORE GENERAL HOSPITAL,145,2,2_31
83,2:32,0.00216932,EVERTON PARK,174,2,2_32
84,2:33,0.00216878,KAMPONG JAVA,64,2,2_33
85,2:34,0.00214767,HOLLAND DRIVE,102,2,2_34
86,2:35,0.00210889,TIONG BAHRU,97,2,2_35
87,2:36,0.00210716,MARINA CENTRE,49,2,2_36
88,2:37,0.0020732,CENTRAL SUBZONE,109,2,2_37
89,2:38,0.00198051,MALCOLM,176,2,2_38
90,2:39,0.00196968,PEARL'S HILL,17,2,2_39
91,2:40,0.00196821,COMMONWEALTH,171,2,2_40
92,2:41,0.00195899,NASSIM,111,2,2_41
93,2:42,0.0018995000000000001,TELOK BLANGAH WAY,53,2,2_42
94,2:43,0.00181468,CHATSWORTH,248,2,2_43
95,2:44,0.00178705,MARGARET DRIVE,52,2,2_44
96,2:45,0.00172369,CLARKE QUAY,154,2,2_45
97,2:46,0.00171279,CHINA SQUARE,87,2,2_46
98,2:47,0.00162924,BUKIT HO SWEE,138,2,2_47
99,2:48,0.0016265000000000001,CECIL,218,2,2_48
100,2:49,0.00158639,ROBERTSON QUAY,225,2,2_49
101,2:50,0.00153758,PASIR PANJANG 2,59,2,2_50
102,2:51,0.00150696,TYERSALL,227,2,2_51
103,2:52,0.00129251,KAMPONG BUGIS,140,2,2_52
104,2:53,0.00127905,BENCOOLEN,224,2,2_53
105,2:54,0.00120123,SUNGEI ROAD,153,2,2_54
106,2:55,0.0011926999999999999,LEEDON PARK,270,2,2_55
107,2:56,0.00118698,RAFFLES PLACE,273,2,2_56
108,2:57,0.00112389,DEPOT ROAD,219,2,2_57
109,2:58,0.00110347,BOAT QUAY,231,2,2_58
110,2:59,0.00102454,CLIFFORD PIER,255,2,2_59
111,2:60,0.000998499,DUNEARN,223,2,2_60
112,2:61,0.000989994,RIDOUT,234,2,2_61
113,2:62,0.000987286,QUEENSWAY,183,2,2_62
114,2:63,0.0009800289999999999,FARRER COURT,275,2,2_63
115,2:64,0.0008946819999999999,CITY TERMINALS,236,2,2_64
116,2:65,0.000887575,BAYFRONT SUBZONE,283,2,2_65
117,2:66,0.000858948,TANJONG PAGAR,220,2,2_66
118,2:67,0.000796822,FORT CANNING,261,2,2_67
119,2:68,0.000726713,KAMPONG GLAM,178,2,2_68
120,2:69,0.000689449,MACKENZIE,170,2,2_69
121,2:70,0.0006838689999999999,SELEGIE,135,2,2_70
122,2:71,0.00066559,ONE TREE HILL,155,2,2_71
123,2:72,0.0006655739999999999,ANSON,238,2,2_72
124,2:73,0.000614236,ROCHOR CANAL,88,2,2_73
125,2:74,0.0005913240000000001,MOUNT PLEASANT,240,2,2_74
126,2:75,0.000550681,PATERSON,284,2,2_75
127,2:76,0.00047240199999999997,INSTITUTION HILL,288,2,2_76
128,2:77,0.000465358,GOODWOOD PARK,113,2,2_77
129,2:78,0.00041823,LEONIE HILL,23,2,2_78
130,2:79,0.00036389999999999995,ALEXANDRA NORTH,252,2,2_79
131,2:80,0.000327387,LITTLE INDIA,203,2,2_80
132,2:81,0.000280994,SENTOSA,286,2,2_81
133,2:82,0.000241179,OXLEY,216,2,2_82
134,2:83,0.00023694400000000003,MAXWELL,265,2,2_83
